date,end_price,price_change,start_price,high,low,quantity
2019.12.06,5310.0,20.0,5250.0,5360.0,5240.0,106741.0
2019.12.05,5290.0,170.0,5470.0,5510.0,5270.0,243997.0
2019.12.04,5460.0,140.0,5550.0,5560.0,5450.0,191122.0
2019.12.03,5600.0,20.0,5550.0,5610.0,5520.0,69012.0
2019.12.02,5620.0,50.0,5620.0,5670.0,5540.0,128445.0
2019.11.29,5570.0,160.0,5740.0,5740.0,5570.0,230454.0
2019.11.28,5730.0,0.0,5730.0,5740.0,5680.0,56542.0
2019.11.27,5730.0,0.0,5730.0,5780.0,5700.0,45493.0
2019.11.26,5730.0,30.0,5670.0,5740.0,5670.0,70184.0
2019.11.25,5700.0,70.0,5590.0,5710.0,5590.0,60943.0
2019.11.22,5630.0,20.0,5610.0,5690.0,5610.0,55649.0
2019.11.21,5650.0,80.0,5680.0,5730.0,5620.0,92329.0
2019.11.20,5730.0,60.0,5810.0,5810.0,5700.0,102333.0
2019.11.19,5790.0,90.0,5880.0,5880.0,5740.0,123865.0
2019.11.18,5880.0,30.0,5920.0,5990.0,5850.0,77458.0
2019.11.15,5910.0,30.0,5880.0,5950.0,5850.0,84304.0
2019.11.14,5880.0,60.0,5800.0,5880.0,5800.0,91322.0
2019.11.13,5820.0,50.0,5860.0,5900.0,5790.0,75593.0
2019.11.12,5870.0,40.0,5930.0,5950.0,5820.0,72141.0
2019.11.11,5910.0,30.0,5940.0,5960.0,5810.0,87465.0
2019.11.08,5940.0,40.0,6000.0,6030.0,5900.0,95834.0
2019.11.07,5980.0,20.0,5910.0,6040.0,5910.0,108959.0
2019.11.06,5960.0,200.0,5790.0,6100.0,5790.0,227070.0
2019.11.05,5760.0,100.0,5650.0,5810.0,5650.0,163681.0
2019.11.04,5660.0,60.0,5600.0,5700.0,5600.0,161281.0
2019.11.01,5600.0,150.0,5750.0,5750.0,5590.0,331127.0
2019.10.31,5750.0,0.0,5730.0,5840.0,5720.0,51342.0
2019.10.30,5750.0,60.0,5830.0,5870.0,5720.0,135493.0
2019.10.29,5810.0,80.0,5890.0,5950.0,5810.0,105850.0
2019.10.28,5890.0,30.0,5940.0,5990.0,5890.0,56824.0
2019.10.25,5920.0,20.0,5870.0,5970.0,5870.0,45421.0
2019.10.24,5900.0,100.0,5960.0,6010.0,5880.0,126842.0
2019.10.23,6000.0,150.0,6110.0,6200.0,5990.0,117827.0
2019.10.22,6150.0,20.0,6120.0,6250.0,6120.0,65267.0
2019.10.21,6130.0,80.0,6160.0,6220.0,6110.0,49588.0
2019.10.18,6210.0,10.0,6230.0,6250.0,6160.0,69637.0
2019.10.17,6220.0,10.0,6240.0,6250.0,6160.0,82707.0
2019.10.16,6210.0,90.0,6120.0,6250.0,6120.0,94990.0
2019.10.15,6120.0,40.0,6110.0,6160.0,6070.0,86549.0
2019.10.14,6080.0,140.0,5950.0,6120.0,5950.0,78332.0
