date,end_price,price_change,start_price,high,low,quantity
2019.12.06,4145.0,5.0,4080.0,4300.0,4080.0,33488.0
2019.12.05,4150.0,10.0,4165.0,4240.0,4085.0,28857.0
2019.12.04,4140.0,135.0,4275.0,4275.0,4100.0,37364.0
2019.12.03,4275.0,0.0,4300.0,4300.0,4160.0,17998.0
2019.12.02,4275.0,5.0,4285.0,4330.0,4275.0,18515.0
2019.11.29,4280.0,5.0,4275.0,4315.0,4200.0,23392.0
2019.11.28,4275.0,45.0,4235.0,4275.0,4145.0,25047.0
2019.11.27,4230.0,50.0,4285.0,4325.0,4210.0,21273.0
2019.11.26,4280.0,55.0,4205.0,4295.0,4205.0,19131.0
2019.11.25,4225.0,150.0,4090.0,4250.0,4090.0,36790.0
2019.11.22,4075.0,25.0,4100.0,4155.0,4065.0,59800.0
2019.11.21,4100.0,155.0,4300.0,4300.0,4045.0,82347.0
2019.11.20,4255.0,160.0,4375.0,4405.0,4240.0,49484.0
2019.11.19,4415.0,20.0,4380.0,4460.0,4280.0,59471.0
2019.11.18,4395.0,160.0,4620.0,4620.0,4395.0,57581.0
2019.11.15,4555.0,20.0,4535.0,4640.0,4510.0,49280.0
2019.11.14,4535.0,25.0,4635.0,4635.0,4500.0,46499.0
2019.11.13,4560.0,80.0,4630.0,4650.0,4520.0,132461.0
2019.11.12,4640.0,310.0,4340.0,4640.0,4290.0,205439.0
2019.11.11,4330.0,190.0,4175.0,4495.0,4125.0,367930.0
2019.11.08,4140.0,50.0,4150.0,4155.0,4085.0,19501.0
2019.11.07,4090.0,45.0,4135.0,4175.0,4075.0,23833.0
2019.11.06,4135.0,15.0,4175.0,4175.0,4105.0,18435.0
2019.11.05,4120.0,65.0,4065.0,4150.0,4060.0,35272.0
2019.11.04,4055.0,100.0,4015.0,4125.0,3960.0,28317.0
2019.11.01,3955.0,20.0,3965.0,3970.0,3930.0,24107.0
2019.10.31,3935.0,15.0,3950.0,4000.0,3935.0,32388.0
2019.10.30,3950.0,35.0,4000.0,4030.0,3925.0,32738.0
2019.10.29,3985.0,80.0,4050.0,4450.0,3930.0,354540.0
2019.10.28,3905.0,0.0,3895.0,3940.0,3860.0,27048.0
2019.10.25,3905.0,45.0,3940.0,3980.0,3850.0,46434.0
2019.10.24,3950.0,40.0,3975.0,4025.0,3925.0,41454.0
2019.10.23,3990.0,80.0,4050.0,4115.0,3965.0,29268.0
2019.10.22,4070.0,30.0,4050.0,4330.0,4025.0,31564.0
2019.10.21,4040.0,105.0,4150.0,4190.0,4020.0,26741.0
2019.10.18,4145.0,10.0,4150.0,4245.0,4130.0,20683.0
2019.10.17,4135.0,30.0,4180.0,4255.0,4125.0,14231.0
2019.10.16,4165.0,10.0,4180.0,4230.0,4155.0,34014.0
2019.10.15,4175.0,65.0,4110.0,4175.0,4075.0,18917.0
2019.10.14,4110.0,50.0,4145.0,4165.0,4060.0,35688.0
2019.10.11,4060.0,15.0,4140.0,4140.0,4050.0,17957.0
2019.10.10,4045.0,25.0,4070.0,4150.0,4035.0,12849.0
2019.10.08,4070.0,5.0,4025.0,4135.0,4020.0,26503.0
2019.10.07,4065.0,115.0,4130.0,4160.0,4035.0,44553.0
2019.10.04,4180.0,0.0,4150.0,4245.0,4150.0,25350.0
2019.10.02,4180.0,95.0,4235.0,4245.0,4155.0,51134.0
2019.10.01,4275.0,130.0,4120.0,4720.0,4120.0,449793.0
2019.09.30,4145.0,125.0,4270.0,4300.0,4100.0,35671.0
2019.09.27,4270.0,35.0,4305.0,4330.0,4270.0,20296.0
2019.09.26,4305.0,40.0,4270.0,4340.0,4260.0,27422.0
2019.09.25,4265.0,95.0,4450.0,4450.0,4235.0,72935.0
2019.09.24,4360.0,30.0,4390.0,4410.0,4325.0,35928.0
2019.09.23,4390.0,85.0,4500.0,4600.0,4365.0,108558.0
2019.09.20,4305.0,15.0,4310.0,4350.0,4280.0,21114.0
2019.09.19,4320.0,75.0,4245.0,4340.0,4235.0,35223.0
2019.09.18,4245.0,60.0,4345.0,4345.0,4210.0,21401.0
2019.09.17,4305.0,15.0,4350.0,4370.0,4290.0,25881.0
2019.09.16,4320.0,55.0,4290.0,4365.0,4250.0,58524.0
2019.09.11,4265.0,45.0,4305.0,4335.0,4210.0,52915.0
2019.09.10,4310.0,160.0,4215.0,4330.0,4155.0,106220.0
2019.09.09,4150.0,35.0,4150.0,4210.0,4130.0,22647.0
2019.09.06,4185.0,5.0,4215.0,4255.0,4150.0,22433.0
2019.09.05,4180.0,25.0,4190.0,4190.0,4150.0,24058.0
2019.09.04,4155.0,15.0,4150.0,4225.0,4120.0,35922.0
2019.09.03,4170.0,15.0,4185.0,4245.0,4135.0,25730.0
2019.09.02,4185.0,30.0,4110.0,4190.0,4090.0,27044.0
2019.08.30,4155.0,85.0,4090.0,4160.0,4025.0,43533.0
2019.08.29,4070.0,40.0,4025.0,4085.0,3965.0,39407.0
