date,end_price,price_change,start_price,high,low,quantity
2019.12.04,4960.0,50.0,4910.0,4980.0,4845.0,41705.0
2019.12.03,4910.0,85.0,4995.0,5020.0,4890.0,50067.0
2019.12.02,4995.0,0.0,5030.0,5110.0,4985.0,49117.0
2019.11.29,4995.0,105.0,5070.0,5120.0,4990.0,102335.0
2019.11.28,5100.0,50.0,5100.0,5180.0,5080.0,26266.0
2019.11.27,5150.0,10.0,5160.0,5240.0,5090.0,46842.0
2019.11.26,5160.0,30.0,5260.0,5260.0,5160.0,41270.0
2019.11.25,5190.0,110.0,5080.0,5280.0,5080.0,60772.0
2019.11.22,5080.0,10.0,4990.0,5180.0,4990.0,81887.0
2019.11.21,5070.0,210.0,5430.0,5430.0,5050.0,91703.0
2019.11.20,5280.0,300.0,5550.0,5580.0,5260.0,128655.0
2019.11.19,5580.0,130.0,5700.0,5700.0,5580.0,64155.0
2019.11.18,5710.0,30.0,5810.0,5810.0,5700.0,44271.0
2019.11.15,5740.0,20.0,5830.0,5870.0,5700.0,78117.0
2019.11.14,5760.0,10.0,5850.0,5920.0,5760.0,92099.0
2019.11.13,5750.0,250.0,6060.0,6100.0,5730.0,218770.0
2019.11.12,6000.0,60.0,6070.0,6120.0,5930.0,116342.0
2019.11.11,6060.0,40.0,6130.0,6210.0,6030.0,174513.0
2019.11.08,6100.0,0.0,6100.0,6170.0,5960.0,159417.0
2019.11.07,6100.0,180.0,5960.0,6100.0,5840.0,267844.0
2019.11.06,5920.0,250.0,5770.0,5960.0,5690.0,257419.0
2019.11.05,5670.0,150.0,5530.0,5750.0,5470.0,135387.0
2019.11.04,5520.0,20.0,5470.0,5550.0,5400.0,52055.0
2019.11.01,5500.0,0.0,5550.0,5550.0,5430.0,69035.0
2019.10.31,5500.0,10.0,5490.0,5530.0,5410.0,58837.0
2019.10.30,5490.0,10.0,5540.0,5540.0,5450.0,36026.0
2019.10.29,5500.0,20.0,5540.0,5660.0,5460.0,83874.0
2019.10.28,5520.0,30.0,5450.0,5580.0,5450.0,58204.0
2019.10.25,5490.0,60.0,5550.0,5560.0,5430.0,91160.0
2019.10.24,5550.0,70.0,5590.0,5590.0,5300.0,120610.0
2019.10.23,5480.0,30.0,5480.0,5550.0,5400.0,93357.0
2019.10.22,5510.0,110.0,5570.0,5710.0,5490.0,86326.0
2019.10.21,5620.0,90.0,5750.0,5750.0,5530.0,49859.0
2019.10.18,5710.0,50.0,5750.0,5750.0,5590.0,35147.0
2019.10.17,5660.0,170.0,5890.0,5890.0,5510.0,88019.0
2019.10.16,5830.0,90.0,5930.0,6030.0,5800.0,118207.0
2019.10.15,5920.0,40.0,5880.0,6250.0,5880.0,293642.0
2019.10.14,5880.0,60.0,5810.0,5950.0,5810.0,54403.0
2019.10.11,5820.0,40.0,5860.0,6000.0,5820.0,86808.0
2019.10.10,5860.0,50.0,5810.0,6000.0,5700.0,76034.0
2019.10.08,5810.0,10.0,5870.0,5870.0,5710.0,66912.0
2019.10.07,5820.0,40.0,5810.0,6390.0,5810.0,297884.0
2019.10.04,5780.0,130.0,5910.0,5950.0,5780.0,43542.0
2019.10.02,5910.0,50.0,5870.0,6000.0,5740.0,105910.0
2019.10.01,5860.0,160.0,5770.0,5930.0,5670.0,108751.0
2019.09.30,5700.0,30.0,5760.0,5760.0,5460.0,72718.0
2019.09.27,5670.0,80.0,5710.0,5760.0,5650.0,38386.0
2019.09.26,5750.0,10.0,5750.0,5830.0,5660.0,126087.0
2019.09.25,5760.0,10.0,5780.0,5820.0,5680.0,163465.0
2019.09.24,5770.0,20.0,5740.0,5950.0,5740.0,92136.0
2019.09.23,5790.0,10.0,5730.0,5800.0,5730.0,67527.0
2019.09.20,5780.0,100.0,5680.0,5810.0,5680.0,116094.0
2019.09.19,5680.0,0.0,5710.0,5770.0,5600.0,177695.0
2019.09.18,5680.0,210.0,5480.0,5720.0,5480.0,247750.0
2019.09.17,5470.0,60.0,5410.0,5490.0,5380.0,149517.0
2019.09.16,5410.0,110.0,5290.0,5420.0,5270.0,118689.0
2019.09.11,5300.0,0.0,5260.0,5350.0,5260.0,87658.0
2019.09.10,5300.0,100.0,5170.0,5410.0,5130.0,206614.0
2019.09.09,5200.0,40.0,5150.0,5220.0,5110.0,94275.0
2019.09.06,5160.0,50.0,5140.0,5250.0,5080.0,114237.0
2019.09.05,5110.0,10.0,5150.0,5170.0,5090.0,63785.0
2019.09.04,5120.0,60.0,5050.0,5160.0,5000.0,112390.0
2019.09.03,5060.0,135.0,4930.0,5210.0,4930.0,233489.0
2019.09.02,4925.0,5.0,4890.0,4980.0,4885.0,58583.0
2019.08.30,4920.0,50.0,4880.0,4945.0,4875.0,83941.0
2019.08.29,4870.0,50.0,4925.0,5030.0,4780.0,105629.0
2019.08.28,4920.0,100.0,4800.0,4950.0,4770.0,102866.0
2019.08.27,4820.0,80.0,4905.0,5000.0,4800.0,94612.0
2019.08.26,4900.0,310.0,5080.0,5110.0,4885.0,127192.0
2019.08.23,5210.0,40.0,5230.0,5260.0,5160.0,72640.0
2019.08.22,5250.0,100.0,5350.0,5550.0,5250.0,250776.0
2019.08.21,5350.0,50.0,5310.0,5460.0,5290.0,170692.0
2019.08.20,5300.0,90.0,5500.0,5550.0,5210.0,222634.0
2019.08.19,5390.0,0.0,5380.0,5550.0,5290.0,330332.0
2019.08.16,5390.0,20.0,5250.0,5610.0,5140.0,585963.0
2019.08.14,5370.0,545.0,4830.0,6100.0,4730.0,2108798.0
2019.08.13,4825.0,5.0,4840.0,4880.0,4790.0,55825.0
2019.08.12,4830.0,50.0,4700.0,4890.0,4700.0,56555.0
2019.08.09,4780.0,155.0,4580.0,4820.0,4570.0,130245.0
2019.08.08,4625.0,50.0,4560.0,4710.0,4550.0,74704.0
2019.08.07,4575.0,35.0,4460.0,4720.0,4460.0,218186.0
2019.08.06,4540.0,300.0,4600.0,4900.0,4540.0,374521.0
2019.08.05,4840.0,45.0,4760.0,5070.0,4720.0,283378.0
2019.08.02,4885.0,165.0,4940.0,5020.0,4785.0,75614.0
2019.08.01,5050.0,10.0,4910.0,5190.0,4900.0,92701.0
2019.07.31,5060.0,80.0,5100.0,5100.0,4800.0,87479.0
2019.07.30,4980.0,10.0,4865.0,5100.0,4865.0,172338.0
2019.07.29,4990.0,230.0,5170.0,5240.0,4985.0,177097.0
2019.07.26,5220.0,150.0,5270.0,5420.0,5220.0,123822.0
2019.07.25,5370.0,80.0,5310.0,5480.0,5310.0,115309.0
2019.07.24,5450.0,100.0,5530.0,5600.0,5380.0,113366.0
2019.07.23,5550.0,60.0,5450.0,5700.0,5450.0,137943.0
2019.07.22,5490.0,130.0,5300.0,5510.0,5300.0,87933.0
2019.07.19,5360.0,30.0,5290.0,5420.0,5270.0,82696.0
2019.07.18,5330.0,120.0,5140.0,5340.0,5120.0,122887.0
2019.07.17,5210.0,70.0,5280.0,5330.0,5130.0,128441.0
2019.07.16,5280.0,40.0,5290.0,5380.0,5200.0,119498.0
2019.07.15,5320.0,170.0,5370.0,5540.0,5300.0,119106.0
2019.07.12,5490.0,40.0,5400.0,5640.0,5400.0,74005.0
2019.07.11,5450.0,60.0,5350.0,5770.0,5350.0,202169.0
2019.07.10,5390.0,60.0,5250.0,5440.0,5250.0,115491.0
2019.07.09,5330.0,170.0,5550.0,5650.0,5300.0,166283.0
2019.07.08,5500.0,400.0,5900.0,6000.0,5440.0,234183.0
2019.07.05,5900.0,50.0,5890.0,6020.0,5850.0,85433.0
2019.07.04,5950.0,10.0,5910.0,6000.0,5810.0,90591.0
2019.07.03,5960.0,0.0,5930.0,6120.0,5900.0,73493.0
2019.07.02,5960.0,120.0,5800.0,5970.0,5800.0,138098.0
2019.07.01,5840.0,30.0,5810.0,5920.0,5770.0,133759.0
2019.06.28,5810.0,250.0,5990.0,6110.0,5810.0,161696.0
2019.06.27,6060.0,60.0,5920.0,6200.0,5920.0,217532.0
2019.06.26,6000.0,90.0,5900.0,6230.0,5800.0,254891.0
2019.06.25,5910.0,300.0,6150.0,6230.0,5820.0,438624.0
2019.06.24,6210.0,90.0,6340.0,6380.0,6120.0,159166.0
2019.06.21,6300.0,150.0,6440.0,6480.0,6240.0,205965.0
2019.06.20,6450.0,0.0,6400.0,6500.0,6390.0,154775.0
2019.06.19,6450.0,60.0,6530.0,6600.0,6450.0,219289.0
2019.06.18,6510.0,80.0,6580.0,6670.0,6460.0,191290.0
2019.06.17,6590.0,10.0,6570.0,6730.0,6540.0,156314.0
2019.06.14,6600.0,80.0,6750.0,6830.0,6600.0,322878.0
2019.06.13,6680.0,70.0,6790.0,6860.0,6580.0,288433.0
2019.06.12,6750.0,70.0,6780.0,6870.0,6740.0,150022.0
2019.06.11,6820.0,90.0,6730.0,6970.0,6700.0,341877.0
2019.06.10,6730.0,10.0,6630.0,6800.0,6630.0,173998.0
2019.06.07,6740.0,160.0,6580.0,6940.0,6580.0,406582.0
2019.06.05,6580.0,0.0,6670.0,6720.0,6570.0,184748.0
2019.06.04,6580.0,70.0,6610.0,6700.0,6490.0,330840.0
2019.06.03,6650.0,260.0,6870.0,6900.0,6610.0,549764.0
2019.05.31,6910.0,40.0,6960.0,7020.0,6860.0,322943.0
2019.05.30,6950.0,20.0,7000.0,7450.0,6950.0,1145169.0
2019.05.29,6970.0,420.0,7200.0,7210.0,6970.0,507400.0
2019.05.28,7390.0,520.0,6980.0,7480.0,6860.0,1042896.0
2019.05.27,6870.0,120.0,6990.0,7090.0,6870.0,244954.0
2019.05.24,6990.0,10.0,6900.0,7140.0,6890.0,427609.0
2019.05.23,7000.0,180.0,7230.0,7230.0,6990.0,803659.0
2019.05.22,7180.0,170.0,7090.0,7840.0,7070.0,3413535.0
2019.05.21,7010.0,120.0,7130.0,7250.0,6980.0,415183.0
2019.05.20,7130.0,60.0,7140.0,7440.0,7100.0,503364.0
2019.05.17,7190.0,30.0,7360.0,7590.0,7180.0,1120051.0
2019.05.16,7220.0,380.0,7600.0,7790.0,7220.0,941950.0
2019.05.15,7600.0,20.0,7680.0,7900.0,7420.0,1542003.0
2019.05.14,7620.0,60.0,7410.0,7940.0,7230.0,3057649.0
2019.05.13,7560.0,610.0,7250.0,8340.0,7050.0,11893349.0
2019.05.10,6950.0,340.0,7140.0,7260.0,6820.0,1109437.0
2019.05.09,7290.0,70.0,7330.0,7950.0,7060.0,3063495.0
2019.05.08,7360.0,10.0,7260.0,7620.0,7130.0,2444465.0
2019.05.07,7370.0,750.0,6620.0,8120.0,6570.0,10159914.0
2019.05.03,6620.0,20.0,6570.0,6690.0,6570.0,98327.0
2019.05.02,6640.0,50.0,6630.0,6780.0,6550.0,206170.0
2019.04.30,6590.0,80.0,6730.0,6730.0,6490.0,285002.0
2019.04.29,6670.0,30.0,6700.0,6840.0,6660.0,261728.0
2019.04.26,6700.0,70.0,6730.0,6730.0,6600.0,142918.0
2019.04.25,6630.0,180.0,6780.0,6830.0,6610.0,197815.0
2019.04.24,6810.0,40.0,6750.0,6880.0,6740.0,163935.0
2019.04.23,6770.0,80.0,6780.0,6870.0,6630.0,155378.0
2019.04.22,6850.0,300.0,6530.0,6920.0,6530.0,287513.0
2019.04.19,6550.0,220.0,6720.0,6860.0,6520.0,264782.0
2019.04.18,6770.0,30.0,6680.0,6930.0,6680.0,199650.0
2019.04.17,6800.0,0.0,6800.0,6830.0,6670.0,145316.0
2019.04.16,6800.0,80.0,6980.0,6980.0,6500.0,297986.0
2019.04.15,6880.0,70.0,7100.0,7110.0,6870.0,320802.0
2019.04.12,6950.0,130.0,6830.0,7020.0,6760.0,298341.0
2019.04.11,6820.0,70.0,6840.0,7070.0,6770.0,852053.0
2019.04.10,6750.0,110.0,6670.0,6750.0,6540.0,237980.0
2019.04.09,6640.0,70.0,6560.0,6690.0,6500.0,138188.0
2019.04.08,6570.0,30.0,6610.0,6690.0,6540.0,152200.0
2019.04.05,6600.0,120.0,6720.0,6800.0,6580.0,189529.0
2019.04.04,6720.0,10.0,6670.0,6820.0,6650.0,224232.0
2019.04.03,6710.0,200.0,6550.0,6980.0,6390.0,667685.0
2019.04.02,6510.0,140.0,6450.0,6570.0,6350.0,124508.0
2019.04.01,6370.0,130.0,6510.0,6520.0,6350.0,118805.0
2019.03.29,6500.0,170.0,6280.0,6500.0,6190.0,172081.0
2019.03.28,6330.0,120.0,6220.0,6440.0,6150.0,163097.0
2019.03.27,6210.0,190.0,6400.0,6400.0,6160.0,208347.0
2019.03.26,6400.0,150.0,6250.0,6510.0,6250.0,213819.0
2019.03.25,6250.0,50.0,6150.0,6510.0,6130.0,266938.0
2019.03.22,6300.0,260.0,6540.0,6640.0,6210.0,329780.0
2019.03.21,6560.0,200.0,6890.0,6970.0,6550.0,400140.0
2019.03.20,6760.0,160.0,6880.0,6910.0,6450.0,599638.0
2019.03.19,6920.0,190.0,7190.0,7360.0,6770.0,885468.0
2019.03.18,7110.0,180.0,7000.0,7490.0,6990.0,2044661.0
2019.03.15,6930.0,10.0,6940.0,7240.0,6870.0,1010530.0
2019.03.14,6920.0,110.0,7020.0,7070.0,6800.0,647937.0
2019.03.13,7030.0,240.0,6850.0,7150.0,6820.0,1455802.0
2019.03.12,6790.0,130.0,6620.0,6790.0,6620.0,253615.0
2019.03.11,6660.0,0.0,6600.0,6800.0,6500.0,244980.0
2019.03.08,6660.0,30.0,6630.0,6730.0,6550.0,186257.0
2019.03.07,6630.0,60.0,6700.0,6870.0,6610.0,399553.0
2019.03.06,6690.0,30.0,6680.0,6780.0,6510.0,271878.0
2019.03.05,6720.0,20.0,6830.0,6830.0,6670.0,239943.0
2019.03.04,6740.0,440.0,6480.0,6800.0,6380.0,435015.0
2019.02.28,6300.0,400.0,6710.0,6810.0,6300.0,572852.0
2019.02.27,6700.0,390.0,6320.0,6700.0,6260.0,709528.0
2019.02.26,6310.0,170.0,6140.0,6450.0,6140.0,257740.0
2019.02.25,6140.0,60.0,6090.0,6220.0,6080.0,101090.0
2019.02.22,6080.0,120.0,6160.0,6290.0,6070.0,116346.0
2019.02.21,6200.0,130.0,6310.0,6400.0,6200.0,123983.0
2019.02.20,6330.0,40.0,6380.0,6460.0,6300.0,147668.0
2019.02.19,6370.0,40.0,6330.0,6380.0,6240.0,125282.0
2019.02.18,6330.0,10.0,6360.0,6490.0,6320.0,214533.0
2019.02.15,6340.0,60.0,6280.0,6380.0,6200.0,138569.0
2019.02.14,6280.0,150.0,6420.0,6420.0,6190.0,200470.0
2019.02.13,6430.0,100.0,6300.0,6430.0,6160.0,244736.0
2019.02.12,6330.0,210.0,6260.0,6880.0,6260.0,1727413.0
2019.02.11,6120.0,170.0,6000.0,6240.0,5950.0,271597.0
2019.02.08,5950.0,90.0,5800.0,6190.0,5770.0,195720.0
2019.02.07,5860.0,140.0,5910.0,5990.0,5780.0,158958.0
2019.02.01,6000.0,170.0,6170.0,6240.0,5820.0,141210.0
2019.01.31,6170.0,30.0,6210.0,6300.0,6110.0,100827.0
2019.01.30,6200.0,30.0,6170.0,6250.0,6130.0,179286.0
2019.01.29,6170.0,180.0,6350.0,6430.0,6050.0,145000.0
2019.01.28,6350.0,110.0,6260.0,6520.0,6250.0,422779.0
2019.01.25,6240.0,40.0,6300.0,6380.0,6210.0,175085.0
2019.01.24,6280.0,70.0,6210.0,6280.0,6130.0,192673.0
2019.01.23,6210.0,70.0,6100.0,6260.0,6050.0,189265.0
2019.01.22,6140.0,250.0,5890.0,6240.0,5810.0,475340.0
2019.01.21,5890.0,360.0,6250.0,6280.0,5890.0,308463.0
2019.01.18,6250.0,50.0,6390.0,6390.0,6210.0,217356.0
2019.01.17,6300.0,90.0,6320.0,6580.0,6050.0,668821.0
2019.01.16,6210.0,280.0,5950.0,6220.0,5920.0,938972.0
2019.01.15,5930.0,20.0,5870.0,6090.0,5870.0,415833.0
2019.01.14,5950.0,270.0,5730.0,6000.0,5590.0,762352.0
2019.01.11,5680.0,120.0,5590.0,6100.0,5520.0,1779599.0
2019.01.10,5560.0,120.0,5740.0,5740.0,5460.0,405206.0
2019.01.09,5680.0,170.0,5470.0,6170.0,5350.0,2097361.0
2019.01.08,5510.0,110.0,5570.0,5730.0,5400.0,889691.0
2019.01.07,5620.0,510.0,5620.0,6220.0,5340.0,4869635.0
2019.01.04,5110.0,20.0,5120.0,5480.0,4905.0,1581963.0
2019.01.03,5090.0,140.0,5550.0,5840.0,5000.0,3091568.0
2019.01.02,5230.0,10.0,5220.0,5400.0,5070.0,1886899.0
2018.12.28,5220.0,1200.0,4090.0,5220.0,4030.0,3035983.0
2018.12.27,4020.0,40.0,4060.0,4180.0,4005.0,275694.0
2018.12.26,3980.0,425.0,4390.0,4390.0,3980.0,753187.0
2018.12.24,4405.0,105.0,4490.0,4590.0,4405.0,79225.0
2018.12.21,4510.0,95.0,4515.0,4620.0,4465.0,143466.0
2018.12.20,4605.0,210.0,4820.0,4845.0,4600.0,135526.0
2018.12.19,4815.0,95.0,4810.0,4915.0,4750.0,134752.0
2018.12.18,4910.0,100.0,4860.0,4995.0,4850.0,80590.0
2018.12.17,5010.0,160.0,5100.0,5200.0,4800.0,125283.0
2018.12.14,5170.0,100.0,5210.0,5270.0,5100.0,51600.0
2018.12.13,5270.0,100.0,5230.0,5280.0,5150.0,76621.0
2018.12.12,5170.0,30.0,5110.0,5300.0,5110.0,96826.0
2018.12.11,5200.0,150.0,5420.0,5450.0,5160.0,92706.0
2018.12.10,5350.0,280.0,5550.0,5560.0,5350.0,88648.0
2018.12.07,5630.0,110.0,5510.0,5750.0,5500.0,63632.0
2018.12.06,5520.0,200.0,5780.0,5780.0,5380.0,126960.0
2018.12.05,5720.0,190.0,5900.0,5900.0,5720.0,88290.0
2018.12.04,5910.0,30.0,5850.0,5970.0,5840.0,87015.0
2018.12.03,5880.0,0.0,5890.0,5960.0,5830.0,79926.0
2018.11.30,5880.0,0.0,5950.0,5960.0,5840.0,38422.0
2018.11.29,5880.0,180.0,5760.0,6040.0,5760.0,211006.0
2018.11.28,5700.0,140.0,5880.0,5880.0,5680.0,105257.0
2018.11.27,5840.0,50.0,5820.0,5920.0,5720.0,76314.0
2018.11.26,5790.0,40.0,5830.0,5920.0,5700.0,97106.0
2018.11.23,5830.0,170.0,6010.0,6140.0,5700.0,158103.0
2018.11.22,6000.0,70.0,6080.0,6170.0,5960.0,106520.0
2018.11.21,6070.0,10.0,5980.0,6140.0,5940.0,111124.0
2018.11.20,6060.0,30.0,5950.0,6090.0,5900.0,97100.0
2018.11.19,6090.0,220.0,5910.0,6150.0,5870.0,139999.0
2018.11.16,5870.0,40.0,5800.0,5950.0,5790.0,65038.0
2018.11.15,5830.0,130.0,5710.0,5950.0,5520.0,72975.0
2018.11.14,5700.0,100.0,5870.0,5870.0,5700.0,85822.0
2018.11.13,5800.0,10.0,5730.0,5840.0,5520.0,119379.0
2018.11.12,5810.0,290.0,6140.0,6140.0,5810.0,129780.0
2018.11.09,6100.0,120.0,6220.0,6350.0,6010.0,65331.0
2018.11.08,6220.0,120.0,6280.0,6370.0,6180.0,90731.0
2018.11.07,6100.0,150.0,6270.0,6420.0,6000.0,133116.0
2018.11.06,6250.0,50.0,6210.0,6360.0,6150.0,141653.0
2018.11.05,6300.0,300.0,6040.0,6350.0,5840.0,198955.0
2018.11.02,6000.0,310.0,5790.0,6040.0,5770.0,246729.0
2018.11.01,5690.0,330.0,5510.0,5870.0,5460.0,278482.0
2018.10.31,5360.0,130.0,5360.0,5590.0,5280.0,276316.0
2018.10.30,5230.0,160.0,4830.0,5260.0,4830.0,340523.0
2018.10.29,5070.0,450.0,5500.0,5620.0,5000.0,323656.0
2018.10.26,5520.0,420.0,6050.0,6090.0,5490.0,369119.0
2018.10.25,5940.0,170.0,5890.0,6040.0,5700.0,293390.0
2018.10.24,6110.0,540.0,6640.0,6740.0,6050.0,340117.0
2018.10.23,6650.0,360.0,7010.0,7100.0,6650.0,346246.0
2018.10.22,7010.0,190.0,7300.0,7410.0,6950.0,480296.0
2018.10.19,7200.0,120.0,7110.0,7220.0,6960.0,215793.0
2018.10.18,7080.0,30.0,7100.0,7350.0,7020.0,135759.0
2018.10.17,7050.0,0.0,7120.0,7250.0,7010.0,171140.0
2018.10.16,7050.0,100.0,7160.0,7250.0,7030.0,188366.0
2018.10.15,7150.0,50.0,7300.0,7550.0,7110.0,370053.0
2018.10.12,7200.0,190.0,6920.0,7390.0,6900.0,354478.0
2018.10.11,7010.0,770.0,7560.0,7700.0,7010.0,626895.0
2018.10.10,7780.0,230.0,7530.0,7820.0,7340.0,372083.0
2018.10.08,7550.0,190.0,7250.0,7830.0,7250.0,330885.0
2018.10.05,7360.0,250.0,7060.0,8180.0,6760.0,627840.0
2018.10.04,7110.0,160.0,7290.0,7350.0,7070.0,191516.0
2018.10.02,7270.0,60.0,7280.0,7530.0,7150.0,234587.0
2018.10.01,7330.0,360.0,7740.0,7760.0,7230.0,469688.0
2018.09.28,7690.0,410.0,8080.0,8360.0,7660.0,782455.0
2018.09.27,8100.0,340.0,8400.0,8400.0,8050.0,506566.0
2018.09.21,8440.0,10.0,8410.0,8670.0,8330.0,423870.0
2018.09.20,8430.0,70.0,8550.0,8950.0,8360.0,1281111.0
2018.09.19,8500.0,40.0,8360.0,8700.0,8150.0,1049830.0
2018.09.18,8460.0,780.0,7620.0,8600.0,7620.0,1709648.0
2018.09.17,7680.0,330.0,7900.0,8000.0,7510.0,550165.0
2018.09.14,8010.0,90.0,8180.0,8430.0,7980.0,843142.0
2018.09.13,8100.0,80.0,7960.0,8140.0,7850.0,314210.0
2018.09.12,8020.0,100.0,8000.0,8400.0,7860.0,1086322.0
2018.09.11,7920.0,380.0,7570.0,7920.0,7560.0,764256.0
2018.09.10,7540.0,20.0,7500.0,7720.0,7450.0,337695.0
2018.09.07,7520.0,40.0,7430.0,7710.0,7430.0,556712.0
