date,end_price,price_change,start_price,high,low,quantity
2019.12.04,2305.0,15.0,2325.0,2325.0,2230.0,186384.0
2019.12.03,2320.0,35.0,2350.0,2365.0,2270.0,122174.0
2019.12.02,2355.0,10.0,2375.0,2395.0,2310.0,131124.0
2019.11.29,2365.0,35.0,2395.0,2395.0,2305.0,291930.0
2019.11.28,2330.0,100.0,2425.0,2430.0,2185.0,475844.0
2019.11.27,2430.0,40.0,2400.0,2510.0,2400.0,798415.0
2019.11.26,2390.0,80.0,2350.0,2420.0,2350.0,351995.0
2019.11.25,2310.0,35.0,2305.0,2365.0,2250.0,303640.0
2019.11.22,2275.0,50.0,2330.0,2375.0,2250.0,302822.0
2019.11.21,2325.0,20.0,2310.0,2380.0,2225.0,435981.0
2019.11.20,2345.0,35.0,2340.0,2400.0,2300.0,268659.0
2019.11.19,2310.0,20.0,2330.0,2330.0,2210.0,377359.0
2019.11.18,2330.0,30.0,2370.0,2405.0,2305.0,189217.0
2019.11.15,2360.0,30.0,2330.0,2395.0,2315.0,162407.0
2019.11.14,2330.0,0.0,2330.0,2350.0,2300.0,150888.0
2019.11.13,2330.0,40.0,2360.0,2410.0,2320.0,252882.0
2019.11.12,2370.0,20.0,2400.0,2410.0,2320.0,351625.0
2019.11.11,2390.0,20.0,2385.0,2430.0,2335.0,567784.0
2019.11.08,2410.0,25.0,2675.0,2750.0,2410.0,3217225.0
2019.11.07,2435.0,5.0,2460.0,2460.0,2395.0,590207.0
2019.11.06,2440.0,5.0,2450.0,2500.0,2360.0,926942.0
2019.11.05,2435.0,80.0,2330.0,2480.0,2315.0,1832690.0
2019.11.04,2355.0,220.0,2140.0,2470.0,2135.0,3653803.0
2019.11.01,2135.0,45.0,2170.0,2190.0,2090.0,341212.0
2019.10.31,2180.0,100.0,2080.0,2190.0,2080.0,507467.0
2019.10.30,2080.0,10.0,2085.0,2165.0,2055.0,618183.0
2019.10.29,2090.0,90.0,2195.0,2200.0,2085.0,563492.0
2019.10.28,2180.0,25.0,2185.0,2275.0,2130.0,1248810.0
2019.10.25,2155.0,135.0,2040.0,2340.0,2010.0,2016146.0
2019.10.24,2020.0,5.0,2010.0,2035.0,1975.0,163145.0
2019.10.23,2015.0,30.0,2035.0,2055.0,2000.0,127558.0
2019.10.22,2045.0,40.0,2010.0,2050.0,2000.0,113822.0
2019.10.21,2005.0,20.0,2025.0,2045.0,1980.0,139959.0
2019.10.18,2025.0,0.0,2025.0,2060.0,2015.0,355891.0
2019.10.17,2025.0,45.0,2050.0,2065.0,2015.0,138057.0
2019.10.16,2070.0,15.0,2060.0,2090.0,2050.0,165179.0
2019.10.15,2055.0,5.0,2040.0,2060.0,2015.0,229360.0
2019.10.14,2050.0,10.0,2110.0,2140.0,2025.0,475744.0
2019.10.11,2040.0,65.0,2015.0,2090.0,2000.0,489279.0
2019.10.10,1975.0,0.0,2000.0,2000.0,1960.0,107274.0
2019.10.08,1975.0,15.0,1955.0,1990.0,1940.0,231611.0
2019.10.07,1960.0,5.0,2000.0,2000.0,1940.0,133397.0
2019.10.04,1965.0,25.0,1990.0,1990.0,1920.0,175195.0
2019.10.02,1990.0,10.0,2000.0,2015.0,1950.0,224343.0
2019.10.01,2000.0,35.0,2035.0,2065.0,1990.0,217644.0
