date,end_price,price_change,start_price,high,low,quantity
2019.12.04,7570.0,110.0,7630.0,7680.0,7530.0,32108.0
2019.12.03,7680.0,100.0,7770.0,7780.0,7620.0,49006.0
2019.12.02,7780.0,10.0,7820.0,7820.0,7700.0,24240.0
2019.11.29,7770.0,30.0,7750.0,7860.0,7720.0,28370.0
2019.11.28,7800.0,10.0,7710.0,7840.0,7690.0,31201.0
2019.11.27,7790.0,10.0,7800.0,7860.0,7700.0,40324.0
2019.11.26,7800.0,130.0,8010.0,8010.0,7780.0,71468.0
2019.11.25,7930.0,200.0,7930.0,8110.0,7750.0,126082.0
2019.11.22,7730.0,140.0,7660.0,7750.0,7490.0,65699.0
2019.11.21,7590.0,280.0,7760.0,7900.0,7470.0,201551.0
2019.11.20,7870.0,210.0,8210.0,8210.0,7850.0,108576.0
2019.11.19,8080.0,90.0,8250.0,8250.0,8040.0,40156.0
2019.11.18,8170.0,40.0,8230.0,8230.0,8120.0,40022.0
2019.11.15,8210.0,90.0,8100.0,8250.0,8010.0,55241.0
2019.11.14,8120.0,40.0,8070.0,8180.0,8040.0,37489.0
2019.11.13,8080.0,130.0,8210.0,8220.0,8010.0,53652.0
2019.11.12,8210.0,0.0,8290.0,8400.0,8100.0,55525.0
2019.11.11,8210.0,80.0,8380.0,8380.0,8100.0,47236.0
2019.11.08,8290.0,140.0,8150.0,8420.0,8100.0,91860.0
2019.11.07,8150.0,150.0,8310.0,8310.0,8100.0,96132.0
2019.11.06,8300.0,80.0,8380.0,8420.0,8230.0,104351.0
2019.11.05,8380.0,50.0,8430.0,8490.0,8280.0,87408.0
2019.11.04,8330.0,190.0,8200.0,8380.0,8090.0,106981.0
2019.11.01,8140.0,10.0,8060.0,8150.0,7970.0,58105.0
2019.10.31,8150.0,200.0,7950.0,8230.0,7930.0,62337.0
2019.10.30,7950.0,140.0,8260.0,8390.0,7930.0,148281.0
2019.10.29,8090.0,210.0,7860.0,8180.0,7830.0,84854.0
2019.10.28,7880.0,40.0,7790.0,8020.0,7720.0,88350.0
2019.10.25,7840.0,140.0,8030.0,8080.0,7620.0,140828.0
2019.10.24,7980.0,320.0,8240.0,8340.0,7970.0,178024.0
2019.10.23,8300.0,40.0,8350.0,8440.0,8240.0,55182.0
2019.10.22,8340.0,80.0,8260.0,8360.0,8180.0,130539.0
2019.10.21,8260.0,230.0,8490.0,8490.0,8190.0,154420.0
2019.10.18,8490.0,90.0,8400.0,8650.0,8390.0,92991.0
2019.10.17,8400.0,120.0,8520.0,8560.0,8390.0,99721.0
2019.10.16,8520.0,60.0,8670.0,8670.0,8440.0,98014.0
2019.10.15,8580.0,70.0,8530.0,8690.0,8450.0,143220.0
2019.10.14,8510.0,20.0,8550.0,8570.0,8450.0,101827.0
2019.10.11,8490.0,70.0,8440.0,8520.0,8370.0,129928.0
2019.10.10,8420.0,20.0,8400.0,8510.0,8310.0,94943.0
2019.10.08,8400.0,30.0,8300.0,8540.0,8250.0,132200.0
2019.10.07,8370.0,30.0,8440.0,8500.0,8250.0,130815.0
2019.10.04,8400.0,30.0,8370.0,8440.0,8240.0,101351.0
2019.10.02,8370.0,240.0,8090.0,8380.0,7990.0,209760.0
2019.10.01,8130.0,130.0,8270.0,8320.0,8040.0,129476.0
2019.09.30,8260.0,40.0,8320.0,8560.0,8160.0,224973.0
2019.09.27,8300.0,270.0,7950.0,8420.0,7950.0,312739.0
2019.09.26,8030.0,110.0,7920.0,8120.0,7830.0,145025.0
2019.09.25,7920.0,10.0,7870.0,8190.0,7750.0,275040.0
2019.09.24,7930.0,400.0,7760.0,8050.0,7550.0,361426.0
2019.09.23,7530.0,150.0,7400.0,7580.0,7320.0,120777.0
2019.09.20,7380.0,40.0,7410.0,7450.0,7310.0,54526.0
2019.09.19,7420.0,170.0,7310.0,7610.0,7290.0,142044.0
2019.09.18,7250.0,0.0,7210.0,7300.0,7210.0,51088.0
2019.09.17,7250.0,10.0,7200.0,7270.0,7110.0,42893.0
2019.09.16,7240.0,20.0,7220.0,7290.0,7180.0,39864.0
2019.09.11,7220.0,50.0,7090.0,7220.0,7090.0,42621.0
2019.09.10,7170.0,100.0,7230.0,7300.0,7080.0,78322.0
2019.09.09,7270.0,10.0,7270.0,7330.0,7210.0,48425.0
2019.09.06,7260.0,60.0,7210.0,7300.0,7170.0,48891.0
2019.09.05,7200.0,90.0,7260.0,7310.0,7160.0,74956.0
2019.09.04,7290.0,390.0,6900.0,7330.0,6900.0,197284.0
2019.09.03,6900.0,320.0,6680.0,6900.0,6630.0,95702.0
2019.09.02,6580.0,40.0,6540.0,6600.0,6450.0,28442.0
2019.08.30,6540.0,50.0,6580.0,6580.0,6450.0,74771.0
2019.08.29,6490.0,10.0,6560.0,6560.0,6360.0,27447.0
2019.08.28,6480.0,110.0,6310.0,6480.0,6300.0,32399.0
2019.08.27,6370.0,120.0,6490.0,6630.0,6330.0,51247.0
2019.08.26,6490.0,260.0,6570.0,6690.0,6380.0,89065.0
2019.08.23,6750.0,200.0,6980.0,6980.0,6720.0,92917.0
2019.08.22,6950.0,30.0,7000.0,7060.0,6890.0,96534.0
2019.08.21,6980.0,30.0,6950.0,7020.0,6830.0,57479.0
2019.08.20,6950.0,130.0,6900.0,6950.0,6800.0,43201.0
2019.08.19,6820.0,20.0,6800.0,6930.0,6710.0,51876.0
2019.08.16,6800.0,150.0,6840.0,7000.0,6790.0,72688.0
2019.08.14,6950.0,220.0,6670.0,7000.0,6670.0,104385.0
2019.08.13,6730.0,30.0,6580.0,7080.0,6500.0,90382.0
2019.08.12,6700.0,300.0,6470.0,6740.0,6320.0,115917.0
2019.08.09,6400.0,390.0,5990.0,6870.0,5980.0,307556.0
2019.08.08,6010.0,270.0,5740.0,6130.0,5720.0,93302.0
2019.08.07,5740.0,50.0,5630.0,5900.0,5630.0,131606.0
2019.08.06,5690.0,260.0,5550.0,5990.0,5500.0,178149.0
2019.08.05,5950.0,550.0,6350.0,6440.0,5950.0,213216.0
2019.08.02,6500.0,160.0,6470.0,6560.0,6330.0,105955.0
2019.08.01,6660.0,190.0,6850.0,7180.0,6350.0,203354.0
2019.07.31,6850.0,380.0,6310.0,6980.0,6310.0,132490.0
2019.07.30,6470.0,20.0,6450.0,6570.0,6440.0,80657.0
2019.07.29,6450.0,400.0,6920.0,7050.0,6350.0,173411.0
2019.07.26,6850.0,180.0,6620.0,6860.0,6550.0,94174.0
2019.07.25,6670.0,140.0,6660.0,6810.0,6650.0,91042.0
2019.07.24,6810.0,220.0,6950.0,7040.0,6630.0,140893.0
2019.07.23,7030.0,40.0,7070.0,7120.0,7000.0,49042.0
2019.07.22,7070.0,20.0,7000.0,7200.0,6800.0,49106.0
2019.07.19,7050.0,150.0,6840.0,7080.0,6840.0,59937.0
2019.07.18,6900.0,0.0,6910.0,7100.0,6800.0,82847.0
2019.07.17,6900.0,110.0,7030.0,7030.0,6860.0,37173.0
2019.07.16,7010.0,30.0,6980.0,7040.0,6880.0,76099.0
2019.07.15,6980.0,110.0,7040.0,7100.0,6920.0,50160.0
2019.07.12,7090.0,20.0,7080.0,7170.0,7040.0,39687.0
2019.07.11,7070.0,10.0,7160.0,7160.0,7000.0,41704.0
2019.07.10,7080.0,280.0,6840.0,7190.0,6840.0,110853.0
2019.07.09,6800.0,140.0,6660.0,6880.0,6600.0,119248.0
2019.07.08,6660.0,410.0,7020.0,7020.0,6660.0,212649.0
2019.07.05,7070.0,70.0,7190.0,7190.0,7040.0,86622.0
2019.07.04,7140.0,50.0,7080.0,7190.0,6980.0,112555.0
2019.07.03,7090.0,490.0,7550.0,7550.0,6880.0,604649.0
2019.07.02,7580.0,180.0,7760.0,7760.0,7550.0,139707.0
2019.07.01,7760.0,120.0,7880.0,8000.0,7710.0,173902.0
2019.06.28,7880.0,40.0,7760.0,7900.0,7750.0,74676.0
2019.06.27,7840.0,60.0,7810.0,7910.0,7780.0,108989.0
2019.06.26,7900.0,30.0,7930.0,7950.0,7770.0,87668.0
2019.06.25,7930.0,90.0,8030.0,8110.0,7770.0,160883.0
2019.06.24,8020.0,40.0,8000.0,8130.0,7940.0,144528.0
2019.06.21,7980.0,0.0,7960.0,8040.0,7880.0,115286.0
2019.06.20,7980.0,160.0,7860.0,8100.0,7780.0,188984.0
2019.06.19,7820.0,10.0,7800.0,7880.0,7660.0,171604.0
2019.06.18,7830.0,360.0,7530.0,7970.0,7530.0,443939.0
2019.06.17,7470.0,10.0,7450.0,7530.0,7440.0,64266.0
2019.06.14,7480.0,80.0,7520.0,7560.0,7410.0,112420.0
2019.06.13,7560.0,40.0,7640.0,7640.0,7480.0,103752.0
2019.06.12,7600.0,60.0,7660.0,7710.0,7600.0,80072.0
2019.06.11,7660.0,20.0,7640.0,7810.0,7610.0,148246.0
2019.06.10,7640.0,50.0,7560.0,7640.0,7520.0,142782.0
2019.06.07,7590.0,10.0,7600.0,7610.0,7530.0,67020.0
2019.06.05,7580.0,10.0,7590.0,7650.0,7510.0,146424.0
2019.06.04,7570.0,110.0,7460.0,7570.0,7440.0,58854.0
2019.06.03,7460.0,10.0,7330.0,7490.0,7330.0,82297.0
2019.05.31,7450.0,20.0,7400.0,7490.0,7400.0,80640.0
2019.05.30,7430.0,50.0,7450.0,7510.0,7310.0,84337.0
2019.05.29,7480.0,50.0,7530.0,7560.0,7400.0,88176.0
2019.05.28,7530.0,90.0,7440.0,7620.0,7440.0,155118.0
2019.05.27,7440.0,10.0,7450.0,7620.0,7330.0,139458.0
2019.05.24,7450.0,430.0,7820.0,7820.0,7450.0,390568.0
2019.05.23,7880.0,340.0,8220.0,8250.0,7740.0,401675.0
2019.05.22,8220.0,40.0,8350.0,8440.0,8110.0,169372.0
2019.05.21,8260.0,140.0,8040.0,8350.0,8040.0,127226.0
2019.05.20,8120.0,60.0,8250.0,8650.0,8080.0,362270.0
2019.05.17,8060.0,40.0,8270.0,8270.0,7970.0,182532.0
2019.05.16,8100.0,70.0,8170.0,8270.0,8070.0,123537.0
2019.05.15,8170.0,110.0,8080.0,8200.0,8080.0,128097.0
2019.05.14,8060.0,290.0,8150.0,8350.0,8040.0,208171.0
2019.05.13,8350.0,120.0,8190.0,8630.0,8090.0,366465.0
2019.05.10,8230.0,70.0,8160.0,8450.0,7930.0,199233.0
2019.05.09,8160.0,520.0,8600.0,8750.0,8120.0,361843.0
2019.05.08,8680.0,190.0,8750.0,8870.0,8680.0,108795.0
2019.05.07,8870.0,70.0,8810.0,8970.0,8640.0,202272.0
2019.05.03,8940.0,40.0,8900.0,9030.0,8760.0,222022.0
2019.05.02,8900.0,170.0,9070.0,9070.0,8830.0,221804.0
2019.04.30,9070.0,530.0,8790.0,9160.0,8750.0,569932.0
2019.04.29,8540.0,400.0,8240.0,8560.0,8200.0,255584.0
2019.04.26,8140.0,210.0,8290.0,8340.0,8100.0,266474.0
2019.04.25,8350.0,450.0,8740.0,8800.0,8260.0,410686.0
2019.04.24,8800.0,160.0,9000.0,9010.0,8670.0,173727.0
2019.04.23,8960.0,30.0,8980.0,8990.0,8750.0,142918.0
