date,end_price,price_change,start_price,high,low,quantity
2019.12.06,3255.0,30.0,3215.0,3275.0,3215.0,95157.0
2019.12.05,3225.0,5.0,3225.0,3300.0,3200.0,93661.0
2019.12.04,3220.0,30.0,3250.0,3255.0,3190.0,137325.0
2019.12.03,3250.0,50.0,3280.0,3310.0,3200.0,137745.0
2019.12.02,3300.0,10.0,3330.0,3380.0,3285.0,101351.0
2019.11.29,3310.0,85.0,3395.0,3420.0,3260.0,192161.0
2019.11.28,3395.0,5.0,3410.0,3435.0,3390.0,102024.0
2019.11.27,3400.0,35.0,3420.0,3465.0,3390.0,110392.0
2019.11.26,3435.0,15.0,3435.0,3475.0,3415.0,138106.0
2019.11.25,3450.0,90.0,3400.0,3485.0,3400.0,247883.0
2019.11.22,3360.0,120.0,3480.0,3510.0,3350.0,247081.0
2019.11.21,3480.0,15.0,3520.0,3545.0,3400.0,349389.0
2019.11.20,3495.0,40.0,3470.0,3545.0,3415.0,705803.0
2019.11.19,3455.0,130.0,3335.0,3455.0,3285.0,674548.0
2019.11.18,3325.0,145.0,3210.0,3340.0,3200.0,742094.0
2019.11.15,3180.0,35.0,3145.0,3190.0,3130.0,103306.0
2019.11.14,3145.0,5.0,3150.0,3225.0,3120.0,138033.0
2019.11.13,3150.0,30.0,3195.0,3200.0,3120.0,109136.0
2019.11.12,3180.0,15.0,3150.0,3190.0,3135.0,97059.0
2019.11.11,3165.0,5.0,3190.0,3210.0,3145.0,81646.0
2019.11.08,3170.0,5.0,3170.0,3215.0,3150.0,188739.0
2019.11.07,3165.0,20.0,3145.0,3165.0,3125.0,101167.0
2019.11.06,3145.0,45.0,3100.0,3155.0,3095.0,148021.0
2019.11.05,3100.0,20.0,3120.0,3120.0,3090.0,53970.0
2019.11.04,3120.0,60.0,3065.0,3130.0,3050.0,135807.0
2019.11.01,3060.0,20.0,3010.0,3065.0,3010.0,70151.0
2019.10.31,3040.0,40.0,3020.0,3045.0,3000.0,119457.0
2019.10.30,3000.0,15.0,3020.0,3020.0,2975.0,121283.0
2019.10.29,3015.0,10.0,3035.0,3055.0,2990.0,96663.0
2019.10.28,3025.0,5.0,3020.0,3040.0,3010.0,76020.0
2019.10.25,3020.0,40.0,3060.0,3075.0,3010.0,118571.0
2019.10.24,3060.0,40.0,3100.0,3130.0,3040.0,147593.0
2019.10.23,3100.0,0.0,3090.0,3150.0,3070.0,110290.0
2019.10.22,3100.0,20.0,3120.0,3150.0,3060.0,136537.0
2019.10.21,3120.0,35.0,3085.0,3125.0,3075.0,153415.0
2019.10.18,3085.0,0.0,3080.0,3100.0,3070.0,86883.0
2019.10.17,3085.0,25.0,3065.0,3095.0,3060.0,101132.0
2019.10.16,3060.0,0.0,3065.0,3110.0,3050.0,160791.0
2019.10.15,3060.0,20.0,3055.0,3100.0,3045.0,95626.0
2019.10.14,3080.0,20.0,3080.0,3120.0,3045.0,154175.0
2019.10.11,3060.0,20.0,3050.0,3080.0,3025.0,61098.0
2019.10.10,3040.0,30.0,3070.0,3095.0,3025.0,63041.0
2019.10.08,3070.0,30.0,3025.0,3090.0,3015.0,62451.0
2019.10.07,3040.0,15.0,3060.0,3090.0,3025.0,51116.0
2019.10.04,3055.0,45.0,3120.0,3120.0,3050.0,67919.0
2019.10.02,3100.0,65.0,3130.0,3170.0,3100.0,57771.0
2019.10.01,3165.0,45.0,3120.0,3195.0,3120.0,81403.0
2019.09.30,3120.0,50.0,3140.0,3170.0,3090.0,64251.0
2019.09.27,3170.0,0.0,3170.0,3195.0,3150.0,27174.0
2019.09.26,3170.0,5.0,3175.0,3210.0,3165.0,48016.0
2019.09.25,3175.0,85.0,3260.0,3275.0,3175.0,136455.0
2019.09.24,3260.0,25.0,3285.0,3320.0,3255.0,55052.0
2019.09.23,3285.0,30.0,3320.0,3330.0,3265.0,81765.0
2019.09.20,3315.0,0.0,3345.0,3365.0,3310.0,67530.0
2019.09.19,3315.0,30.0,3315.0,3335.0,3290.0,57140.0
2019.09.18,3285.0,10.0,3275.0,3295.0,3260.0,34399.0
2019.09.17,3275.0,20.0,3285.0,3320.0,3265.0,64990.0
2019.09.16,3295.0,40.0,3270.0,3350.0,3270.0,80516.0
2019.09.11,3255.0,25.0,3220.0,3280.0,3220.0,88487.0
2019.09.10,3230.0,40.0,3260.0,3300.0,3220.0,70449.0
2019.09.09,3270.0,65.0,3325.0,3375.0,3235.0,155613.0
2019.09.06,3335.0,90.0,3265.0,3405.0,3265.0,325511.0
2019.09.05,3245.0,25.0,3220.0,3265.0,3210.0,121560.0
2019.09.04,3220.0,0.0,3235.0,3245.0,3185.0,131301.0
2019.09.03,3220.0,20.0,3200.0,3245.0,3180.0,194497.0
2019.09.02,3200.0,90.0,3135.0,3225.0,3110.0,111503.0
2019.08.30,3110.0,70.0,3040.0,3145.0,3040.0,100103.0
2019.08.29,3040.0,40.0,3080.0,3080.0,3030.0,64408.0
2019.08.28,3080.0,20.0,3085.0,3090.0,3045.0,58937.0
2019.08.27,3060.0,45.0,3060.0,3105.0,3040.0,79743.0
2019.08.26,3015.0,170.0,3150.0,3150.0,3000.0,137234.0
2019.08.23,3185.0,15.0,3165.0,3255.0,3135.0,132896.0
2019.08.22,3170.0,20.0,3150.0,3220.0,3140.0,119794.0
2019.08.21,3150.0,80.0,3085.0,3155.0,3040.0,141457.0
2019.08.20,3070.0,75.0,2995.0,3070.0,2965.0,182761.0
2019.08.19,2995.0,275.0,3100.0,3170.0,2925.0,610094.0
2019.08.16,3270.0,40.0,3250.0,3320.0,3220.0,139456.0
2019.08.14,3230.0,25.0,3220.0,3260.0,3210.0,79905.0
2019.08.13,3205.0,5.0,3215.0,3215.0,3165.0,50333.0
2019.08.12,3200.0,10.0,3210.0,3250.0,3165.0,34865.0
2019.08.09,3210.0,50.0,3165.0,3245.0,3165.0,100933.0
2019.08.08,3160.0,135.0,3020.0,3180.0,3020.0,138410.0
2019.08.07,3025.0,100.0,2930.0,3035.0,2930.0,153126.0
2019.08.06,2925.0,95.0,2940.0,3080.0,2770.0,308820.0
2019.08.05,3020.0,275.0,3295.0,3295.0,3020.0,220836.0
2019.08.02,3295.0,45.0,3290.0,3330.0,3225.0,60256.0
2019.08.01,3340.0,0.0,3280.0,3410.0,3280.0,101963.0
2019.07.31,3340.0,35.0,3260.0,3345.0,3190.0,133377.0
2019.07.30,3305.0,80.0,3225.0,3335.0,3225.0,81540.0
2019.07.29,3225.0,120.0,3345.0,3350.0,3175.0,185327.0
2019.07.26,3345.0,65.0,3410.0,3415.0,3285.0,223878.0
2019.07.25,3410.0,70.0,3475.0,3520.0,3400.0,133821.0
2019.07.24,3480.0,65.0,3575.0,3575.0,3470.0,96635.0
2019.07.23,3545.0,25.0,3575.0,3615.0,3530.0,80341.0
