date,end_price,price_change,start_price,high,low,quantity
2019.12.04,31700.0,1200.0,32600.0,32800.0,31550.0,307467.0
2019.12.03,32900.0,300.0,31900.0,32950.0,31650.0,249046.0
2019.12.02,32600.0,800.0,33200.0,34000.0,32550.0,371622.0
2019.11.29,33400.0,150.0,33200.0,33900.0,32800.0,248780.0
2019.11.28,33250.0,1050.0,34000.0,34200.0,32200.0,680243.0
2019.11.27,34300.0,1600.0,35900.0,36050.0,34200.0,497058.0
2019.11.26,35900.0,0.0,36300.0,36700.0,35300.0,527309.0
2019.11.25,35900.0,1600.0,34600.0,35950.0,34100.0,314709.0
2019.11.22,34300.0,200.0,34900.0,35350.0,33900.0,293450.0
2019.11.21,34500.0,200.0,35050.0,36000.0,34400.0,677987.0
2019.11.20,34300.0,500.0,34550.0,35550.0,34200.0,299715.0
2019.11.19,34800.0,400.0,35200.0,35450.0,34650.0,178165.0
2019.11.18,35200.0,300.0,34900.0,35400.0,34550.0,151969.0
2019.11.15,34900.0,950.0,33550.0,34900.0,33250.0,296144.0
2019.11.14,33950.0,1000.0,34550.0,34800.0,33500.0,460246.0
2019.11.13,34950.0,0.0,35100.0,36000.0,34900.0,303532.0
2019.11.12,34950.0,300.0,35400.0,35400.0,34050.0,342168.0
2019.11.11,35250.0,550.0,35550.0,36000.0,35200.0,200555.0
2019.11.08,35800.0,700.0,36000.0,36650.0,35400.0,536333.0
2019.11.07,35100.0,550.0,35700.0,35850.0,34500.0,351956.0
2019.11.06,35650.0,0.0,35750.0,36150.0,35200.0,261040.0
2019.11.05,35650.0,550.0,35550.0,36300.0,34400.0,481517.0
2019.11.04,35100.0,1900.0,38800.0,39150.0,34350.0,1231870.0
2019.11.01,37000.0,400.0,36850.0,38250.0,36050.0,712972.0
2019.10.31,36600.0,500.0,36300.0,37350.0,36150.0,383801.0
2019.10.30,36100.0,550.0,36000.0,36950.0,35800.0,394245.0
2019.10.29,36650.0,100.0,36600.0,37150.0,35700.0,377278.0
2019.10.28,36550.0,100.0,37050.0,37250.0,36050.0,426556.0
2019.10.25,36650.0,3150.0,39600.0,39750.0,35950.0,1510314.0
2019.10.24,39800.0,300.0,39750.0,40600.0,39650.0,248885.0
2019.10.23,40100.0,650.0,40300.0,41350.0,39950.0,464581.0
2019.10.22,40750.0,250.0,39650.0,40750.0,39250.0,1179305.0
2019.10.21,41000.0,600.0,40900.0,41600.0,40550.0,471130.0
2019.10.18,41600.0,1500.0,43500.0,43650.0,41550.0,447995.0
2019.10.17,43100.0,1050.0,42600.0,43950.0,42350.0,781334.0
2019.10.16,42050.0,300.0,41900.0,42800.0,41250.0,475780.0
2019.10.15,41750.0,350.0,41600.0,42000.0,40000.0,1001811.0
2019.10.14,42100.0,2600.0,45800.0,45850.0,41400.0,1434497.0
2019.10.11,44700.0,850.0,44800.0,45450.0,43600.0,670161.0
2019.10.10,43850.0,2150.0,41800.0,45600.0,41800.0,1473818.0
2019.10.08,41700.0,1500.0,40050.0,41950.0,39600.0,486826.0
2019.10.07,40200.0,800.0,41650.0,41900.0,40200.0,397073.0
2019.10.04,41000.0,200.0,40600.0,42250.0,40200.0,562202.0
2019.10.02,40800.0,650.0,40950.0,42600.0,40550.0,379768.0
2019.10.01,41450.0,750.0,41200.0,41600.0,39650.0,510813.0
2019.09.30,40700.0,2200.0,42050.0,42200.0,39050.0,1343162.0
2019.09.27,42900.0,700.0,43850.0,43950.0,41950.0,471127.0
2019.09.26,43600.0,1000.0,43200.0,44550.0,43000.0,637631.0
2019.09.25,42600.0,2550.0,44800.0,45150.0,42600.0,706490.0
2019.09.24,45150.0,50.0,44700.0,45850.0,44700.0,432850.0
2019.09.23,45200.0,150.0,45350.0,45700.0,44400.0,467042.0
2019.09.20,45350.0,650.0,45350.0,46100.0,44750.0,760252.0
2019.09.19,44700.0,800.0,45000.0,45450.0,43800.0,656072.0
2019.09.18,43900.0,400.0,43550.0,45200.0,43100.0,685104.0
2019.09.17,43500.0,450.0,42600.0,45250.0,42300.0,902792.0
2019.09.16,43050.0,1050.0,44100.0,44400.0,42850.0,685906.0
2019.09.11,44100.0,400.0,43400.0,44500.0,41950.0,1005617.0
2019.09.10,43700.0,1300.0,42200.0,44650.0,41700.0,1794893.0
2019.09.09,42400.0,5000.0,48300.0,48400.0,42150.0,2161660.0
2019.09.06,47400.0,2800.0,45700.0,47650.0,44550.0,1792710.0
2019.09.05,44600.0,100.0,45700.0,48600.0,43250.0,2712947.0
2019.09.04,44500.0,4950.0,39550.0,47750.0,39450.0,3035412.0
2019.09.03,39550.0,1050.0,38700.0,40300.0,38150.0,1431755.0
2019.09.02,38500.0,5200.0,33800.0,39250.0,33500.0,2847798.0
2019.08.30,33300.0,50.0,34100.0,34400.0,33200.0,690678.0
2019.08.29,33350.0,200.0,33300.0,33950.0,32600.0,389755.0
2019.08.28,33150.0,650.0,32750.0,33500.0,31900.0,541396.0
2019.08.27,32500.0,400.0,33500.0,33900.0,32500.0,772714.0
2019.08.26,32900.0,300.0,32200.0,33650.0,31350.0,1292591.0
2019.08.23,32600.0,3200.0,29350.0,33000.0,28900.0,1818803.0
2019.08.22,29400.0,950.0,30450.0,30450.0,28650.0,378557.0
2019.08.21,30350.0,50.0,30050.0,30450.0,29700.0,235930.0
2019.08.20,30400.0,950.0,30300.0,30600.0,29650.0,346954.0
2019.08.19,29450.0,350.0,29650.0,30250.0,29000.0,379626.0
2019.08.16,29100.0,300.0,28950.0,29700.0,28650.0,323974.0
2019.08.14,29400.0,1650.0,28700.0,29700.0,28400.0,710114.0
2019.08.13,27750.0,300.0,27550.0,28000.0,27250.0,221515.0
2019.08.12,28050.0,400.0,28500.0,28750.0,27600.0,320898.0
2019.08.09,28450.0,1350.0,27150.0,28550.0,27050.0,497144.0
2019.08.08,27100.0,750.0,27100.0,27450.0,26500.0,347504.0
2019.08.07,26350.0,1350.0,25300.0,26750.0,25300.0,408940.0
2019.08.06,25000.0,1450.0,25150.0,27050.0,24150.0,851764.0
2019.08.05,26450.0,2250.0,28250.0,28700.0,26400.0,604285.0
2019.08.02,28700.0,0.0,27500.0,29350.0,27500.0,366921.0
2019.08.01,28700.0,900.0,29100.0,29750.0,28550.0,374480.0
2019.07.31,29600.0,450.0,29400.0,29900.0,27900.0,462723.0
2019.07.30,29150.0,400.0,29550.0,30050.0,28500.0,419313.0
2019.07.29,29550.0,2000.0,31200.0,31450.0,29350.0,601541.0
2019.07.26,31550.0,100.0,32200.0,32400.0,31000.0,766095.0
2019.07.25,31450.0,550.0,31100.0,31500.0,30350.0,466968.0
2019.07.24,30900.0,150.0,31500.0,31700.0,30800.0,552354.0
2019.07.23,30750.0,1050.0,31300.0,31450.0,30450.0,526354.0
