date,end_price,price_change,start_price,high,low,quantity
2019.12.04,2190.0,115.0,2260.0,2285.0,2145.0,33672.0
2019.12.03,2305.0,15.0,2265.0,2320.0,2250.0,20932.0
2019.12.02,2320.0,30.0,2250.0,2405.0,2220.0,116032.0
2019.11.29,2290.0,25.0,2290.0,2310.0,2280.0,24760.0
2019.11.28,2315.0,5.0,2310.0,2320.0,2280.0,22987.0
2019.11.27,2310.0,45.0,2370.0,2370.0,2310.0,24710.0
2019.11.26,2355.0,30.0,2350.0,2360.0,2335.0,23078.0
2019.11.25,2325.0,10.0,2350.0,2360.0,2265.0,35685.0
2019.11.22,2335.0,55.0,2405.0,2405.0,2315.0,49982.0
2019.11.21,2390.0,90.0,2430.0,2480.0,2355.0,92345.0
2019.11.20,2480.0,20.0,2475.0,2485.0,2410.0,67573.0
2019.11.19,2460.0,25.0,2465.0,2495.0,2445.0,38511.0
2019.11.18,2485.0,40.0,2475.0,2490.0,2445.0,45153.0
2019.11.15,2445.0,95.0,2530.0,2545.0,2415.0,180315.0
2019.11.14,2540.0,5.0,2545.0,2560.0,2500.0,59471.0
2019.11.13,2545.0,90.0,2435.0,2550.0,2435.0,142659.0
2019.11.12,2455.0,0.0,2450.0,2485.0,2435.0,81411.0
2019.11.11,2455.0,15.0,2465.0,2485.0,2445.0,90261.0
2019.11.08,2470.0,10.0,2465.0,2485.0,2440.0,84392.0
2019.11.07,2460.0,40.0,2480.0,2495.0,2445.0,74399.0
2019.11.06,2500.0,40.0,2450.0,2515.0,2445.0,102496.0
2019.11.05,2460.0,5.0,2480.0,2525.0,2460.0,87551.0
2019.11.04,2465.0,10.0,2450.0,2475.0,2435.0,86098.0
2019.11.01,2455.0,10.0,2440.0,2470.0,2420.0,79697.0
2019.10.31,2465.0,25.0,2460.0,2500.0,2440.0,91047.0
2019.10.30,2490.0,30.0,2510.0,2520.0,2410.0,237948.0
2019.10.29,2520.0,30.0,2520.0,2555.0,2500.0,110636.0
2019.10.28,2550.0,100.0,2625.0,2625.0,2505.0,177715.0
2019.10.25,2650.0,60.0,2730.0,2730.0,2620.0,155776.0
2019.10.24,2710.0,70.0,2645.0,2735.0,2590.0,302694.0
2019.10.23,2640.0,0.0,2635.0,2640.0,2550.0,176722.0
2019.10.22,2640.0,70.0,2620.0,2670.0,2575.0,249315.0
2019.10.21,2570.0,25.0,2595.0,2625.0,2530.0,169117.0
2019.10.18,2595.0,120.0,2485.0,2605.0,2480.0,334959.0
2019.10.17,2475.0,50.0,2545.0,2545.0,2465.0,142172.0
2019.10.16,2525.0,0.0,2515.0,2560.0,2500.0,98874.0
2019.10.15,2525.0,5.0,2530.0,2540.0,2495.0,90006.0
2019.10.14,2530.0,0.0,2530.0,2590.0,2445.0,166084.0
2019.10.11,2530.0,60.0,2470.0,2570.0,2470.0,97138.0
2019.10.10,2470.0,50.0,2505.0,2515.0,2455.0,152650.0
2019.10.08,2520.0,35.0,2540.0,2600.0,2500.0,150624.0
2019.10.07,2555.0,205.0,2600.0,2665.0,2500.0,423259.0
2019.10.04,2760.0,15.0,2775.0,2830.0,2675.0,356103.0
2019.10.02,2745.0,110.0,2675.0,3140.0,2675.0,3267407.0
2019.10.01,2635.0,10.0,2660.0,2670.0,2620.0,69192.0
2019.09.30,2645.0,70.0,2705.0,2720.0,2580.0,124022.0
2019.09.27,2715.0,70.0,2770.0,2770.0,2685.0,147382.0
2019.09.26,2785.0,60.0,2830.0,2885.0,2710.0,141847.0
2019.09.25,2845.0,65.0,2905.0,2905.0,2745.0,254102.0
2019.09.24,2910.0,45.0,2855.0,2920.0,2805.0,190806.0
2019.09.23,2865.0,55.0,2835.0,2865.0,2755.0,252322.0
2019.09.20,2810.0,125.0,2695.0,2830.0,2675.0,277490.0
2019.09.19,2685.0,5.0,2685.0,2730.0,2645.0,178202.0
2019.09.18,2680.0,120.0,2775.0,2795.0,2675.0,395283.0
2019.09.17,2800.0,90.0,2885.0,2885.0,2770.0,340163.0
2019.09.16,2890.0,275.0,2635.0,3060.0,2630.0,2805926.0
2019.09.11,2615.0,15.0,2695.0,2730.0,2595.0,301602.0
2019.09.10,2600.0,155.0,2460.0,2650.0,2450.0,379665.0
2019.09.09,2445.0,105.0,2560.0,2565.0,2380.0,236503.0
2019.09.06,2550.0,80.0,2640.0,2655.0,2535.0,219748.0
2019.09.05,2630.0,25.0,2610.0,2685.0,2610.0,163217.0
2019.09.04,2605.0,15.0,2630.0,2640.0,2590.0,72881.0
2019.09.03,2620.0,30.0,2600.0,2650.0,2600.0,90202.0
2019.09.02,2590.0,25.0,2630.0,2670.0,2575.0,123133.0
2019.08.30,2615.0,10.0,2625.0,2640.0,2540.0,123411.0
2019.08.29,2605.0,260.0,2745.0,2765.0,2605.0,507656.0
2019.08.28,2865.0,45.0,2820.0,2870.0,2805.0,40241.0
2019.08.27,2820.0,110.0,2930.0,3100.0,2780.0,190494.0
2019.08.26,2930.0,170.0,3070.0,3070.0,2915.0,41782.0
2019.08.23,3100.0,70.0,3105.0,3170.0,3100.0,26439.0
2019.08.22,3170.0,20.0,3150.0,3180.0,3120.0,40782.0
2019.08.21,3150.0,10.0,3160.0,3180.0,3105.0,15606.0
2019.08.20,3140.0,35.0,3210.0,3225.0,3110.0,37753.0
2019.08.19,3175.0,60.0,3255.0,3255.0,3150.0,37233.0
