date,end_price,price_change,start_price,high,low,quantity
2019.12.04,63800.0,1400.0,65000.0,66000.0,63300.0,514412.0
2019.12.03,65200.0,1600.0,66300.0,68600.0,64000.0,869055.0
2019.12.02,66800.0,3400.0,70300.0,72700.0,66400.0,1883645.0
2019.11.29,70200.0,7000.0,75000.0,76300.0,69000.0,1593104.0
2019.11.28,77200.0,3800.0,85200.0,89100.0,75000.0,5391611.0
2019.11.27,73400.0,16900.0,56000.0,73400.0,56000.0,1392774.0
2019.11.26,56500.0,600.0,56900.0,58600.0,54600.0,204126.0
2019.11.25,57100.0,2700.0,54200.0,58300.0,54000.0,422223.0
2019.11.22,54400.0,2300.0,53000.0,65700.0,52200.0,975850.0
2019.11.21,52100.0,200.0,52400.0,53000.0,51400.0,23738.0
2019.11.20,52300.0,900.0,53000.0,53300.0,52000.0,28164.0
2019.11.19,53200.0,700.0,53500.0,54300.0,52300.0,30778.0
2019.11.18,53900.0,300.0,53800.0,54500.0,53300.0,27611.0
2019.11.15,54200.0,600.0,54800.0,55200.0,53600.0,25369.0
2019.11.14,54800.0,800.0,54000.0,54800.0,53400.0,39344.0
2019.11.13,54000.0,800.0,54800.0,55300.0,52200.0,73860.0
2019.11.12,54800.0,1400.0,53400.0,54800.0,53400.0,69651.0
2019.11.11,53400.0,900.0,52800.0,54000.0,52400.0,79240.0
2019.11.08,52500.0,1500.0,51100.0,53400.0,51100.0,120342.0
2019.11.07,51000.0,600.0,50100.0,51200.0,50100.0,32189.0
2019.11.06,50400.0,600.0,50300.0,51400.0,49000.0,91999.0
2019.11.05,51000.0,100.0,50300.0,51400.0,50200.0,36097.0
2019.11.04,50900.0,3300.0,47750.0,51500.0,47750.0,91704.0
2019.11.01,47600.0,400.0,47300.0,47850.0,46900.0,19231.0
2019.10.31,47200.0,200.0,47400.0,48050.0,46650.0,30684.0
2019.10.30,47400.0,300.0,47500.0,48000.0,47250.0,16127.0
