date,end_price,price_change,start_price,high,low,quantity
2019.12.06,1860.0,40.0,1865.0,1870.0,1825.0,29389.0
2019.12.05,1820.0,125.0,1975.0,1995.0,1795.0,85711.0
2019.12.04,1945.0,65.0,2015.0,2060.0,1880.0,47581.0
2019.12.03,2010.0,35.0,1995.0,2035.0,1995.0,27134.0
2019.12.02,2045.0,15.0,2015.0,2055.0,2015.0,17654.0
2019.11.29,2030.0,20.0,2050.0,2060.0,2010.0,45945.0
2019.11.28,2050.0,30.0,2075.0,2085.0,2030.0,48784.0
2019.11.27,2080.0,45.0,2135.0,2155.0,2050.0,48387.0
2019.11.26,2125.0,10.0,2115.0,2160.0,2105.0,22026.0
2019.11.25,2115.0,75.0,2040.0,2115.0,2040.0,30554.0
2019.11.22,2040.0,45.0,2020.0,2085.0,2020.0,75082.0
2019.11.21,2085.0,115.0,2220.0,2220.0,2085.0,88457.0
2019.11.20,2200.0,50.0,2245.0,2280.0,2200.0,61654.0
2019.11.19,2250.0,75.0,2325.0,2325.0,2230.0,72532.0
2019.11.18,2325.0,25.0,2340.0,2340.0,2270.0,50560.0
2019.11.15,2300.0,25.0,2345.0,2345.0,2295.0,32433.0
2019.11.14,2325.0,15.0,2295.0,2345.0,2290.0,33386.0
2019.11.13,2310.0,25.0,2345.0,2345.0,2270.0,42012.0
2019.11.12,2335.0,50.0,2285.0,2335.0,2265.0,65472.0
2019.11.11,2285.0,45.0,2300.0,2325.0,2250.0,66228.0
2019.11.08,2330.0,15.0,2315.0,2350.0,2315.0,79066.0
2019.11.07,2315.0,15.0,2300.0,2315.0,2265.0,41508.0
2019.11.06,2300.0,15.0,2340.0,2340.0,2265.0,54113.0
2019.11.05,2315.0,10.0,2270.0,2335.0,2255.0,67067.0
2019.11.04,2305.0,95.0,2240.0,2305.0,2225.0,81725.0
2019.11.01,2210.0,30.0,2285.0,2285.0,2145.0,64853.0
2019.10.31,2240.0,45.0,2200.0,2255.0,2200.0,67333.0
2019.10.30,2195.0,40.0,2235.0,2235.0,2190.0,48507.0
2019.10.29,2235.0,0.0,2265.0,2265.0,2205.0,47899.0
2019.10.28,2235.0,0.0,2330.0,2330.0,2200.0,78814.0
2019.10.25,2235.0,5.0,2235.0,2255.0,2190.0,33266.0
2019.10.24,2240.0,25.0,2215.0,2240.0,2120.0,75404.0
2019.10.23,2215.0,40.0,2275.0,2275.0,2205.0,70517.0
2019.10.22,2255.0,15.0,2270.0,2270.0,2215.0,92581.0
2019.10.21,2240.0,65.0,2325.0,2350.0,2200.0,136070.0
2019.10.18,2305.0,55.0,2365.0,2365.0,2300.0,106473.0
2019.10.17,2360.0,30.0,2315.0,2370.0,2280.0,265154.0
2019.10.16,2330.0,230.0,2515.0,2560.0,2275.0,856874.0
2019.10.15,2560.0,365.0,2195.0,2780.0,2195.0,1982415.0
2019.10.14,2195.0,90.0,2185.0,2230.0,2140.0,90512.0
2019.10.11,2105.0,65.0,2170.0,2215.0,2100.0,136589.0
2019.10.10,2170.0,50.0,2105.0,2300.0,2105.0,151473.0
2019.10.08,2120.0,20.0,2120.0,2165.0,2105.0,63572.0
2019.10.07,2140.0,95.0,2205.0,2270.0,2125.0,78294.0
2019.10.04,2235.0,55.0,2290.0,2335.0,2175.0,70207.0
2019.10.02,2290.0,30.0,2420.0,2420.0,2255.0,115747.0
2019.10.01,2320.0,40.0,2365.0,2425.0,2300.0,71181.0
2019.09.30,2360.0,20.0,2440.0,2545.0,2310.0,262426.0
2019.09.27,2380.0,75.0,2270.0,2395.0,2225.0,127736.0
2019.09.26,2305.0,60.0,2350.0,2475.0,2250.0,312078.0
2019.09.25,2365.0,150.0,2510.0,2530.0,2340.0,341467.0
2019.09.24,2515.0,355.0,2295.0,2700.0,2210.0,2831878.0
2019.09.23,2160.0,65.0,2230.0,2230.0,2160.0,52746.0
2019.09.20,2225.0,20.0,2250.0,2270.0,2205.0,33995.0
2019.09.19,2245.0,80.0,2165.0,2265.0,2165.0,60515.0
2019.09.18,2165.0,55.0,2240.0,2250.0,2130.0,41103.0
2019.09.17,2220.0,40.0,2180.0,2240.0,2110.0,34464.0
2019.09.16,2180.0,20.0,2165.0,2210.0,2150.0,36499.0
2019.09.11,2160.0,70.0,2100.0,2180.0,2090.0,47112.0
2019.09.10,2090.0,125.0,2190.0,2210.0,2090.0,106276.0
