date,end_price,price_change,start_price,high,low,quantity
2019.12.04,13250.0,400.0,13400.0,13400.0,12850.0,21.0
2019.12.03,12850.0,1600.0,12000.0,12850.0,11950.0,178.0
2019.12.02,11250.0,1290.0,11250.0,11250.0,11250.0,13.0
2019.11.29,9960.0,1540.0,11200.0,11200.0,9960.0,101.0
2019.11.28,11500.0,1450.0,13500.0,13500.0,11100.0,383.0
2019.11.27,12950.0,700.0,12950.0,12950.0,12950.0,100.0
2019.11.26,13650.0,1150.0,13650.0,13650.0,13650.0,1.0
2019.11.25,12500.0,1450.0,11900.0,12500.0,11900.0,221.0
2019.11.22,13950.0,50.0,14850.0,14850.0,13750.0,112.0
2019.11.21,13900.0,100.0,15950.0,15950.0,11900.0,206.0
2019.11.20,14000.0,400.0,14000.0,14250.0,12250.0,196.0
2019.11.19,14400.0,50.0,14400.0,16550.0,12300.0,71.0
2019.11.18,14450.0,1800.0,14450.0,14450.0,14450.0,5.0
2019.11.15,12650.0,1650.0,12650.0,12650.0,12650.0,0.0
2019.11.14,14300.0,1800.0,14300.0,14300.0,14300.0,5.0
2019.11.13,12500.0,300.0,10950.0,12500.0,10950.0,62.0
2019.11.12,12800.0,1600.0,9620.0,12800.0,9620.0,4.0
2019.11.11,11200.0,300.0,11200.0,11200.0,11200.0,100.0
2019.11.08,11500.0,500.0,13100.0,13100.0,10300.0,142.0
2019.11.07,12000.0,900.0,11100.0,12000.0,11100.0,419.0
2019.11.06,12900.0,50.0,12600.0,12900.0,12600.0,101.0
2019.11.05,12950.0,300.0,12300.0,12950.0,12300.0,102.0
2019.11.04,12650.0,1600.0,12650.0,12650.0,12650.0,101.0
2019.11.01,11050.0,250.0,10500.0,11050.0,10500.0,101.0
2019.10.31,10800.0,1360.0,8050.0,10800.0,8050.0,2.0
2019.10.30,9440.0,1210.0,9450.0,9450.0,9440.0,2.0
2019.10.29,8230.0,1430.0,9380.0,9930.0,8230.0,202.0
2019.10.28,9660.0,280.0,9660.0,9660.0,9660.0,200.0
2019.10.25,9940.0,50.0,9700.0,9940.0,9700.0,201.0
2019.10.24,9990.0,490.0,9500.0,9990.0,8080.0,563.0
2019.10.23,9500.0,800.0,7410.0,9500.0,7410.0,2.0
2019.10.22,8700.0,650.0,8650.0,8700.0,8650.0,250.0
2019.10.21,8050.0,540.0,8050.0,8050.0,8050.0,200.0
2019.10.18,7510.0,490.0,8000.0,8000.0,7510.0,2.0
2019.10.17,8000.0,1400.0,9130.0,9130.0,8000.0,251.0
2019.10.16,9400.0,1140.0,8600.0,9400.0,7040.0,52.0
2019.10.15,8260.0,1400.0,8510.0,8510.0,8230.0,124.0
2019.10.14,9660.0,280.0,9660.0,9660.0,9660.0,200.0
2019.10.11,9940.0,0.0,9940.0,9940.0,9940.0,1.0
2019.10.10,9940.0,280.0,9380.0,9940.0,9380.0,430.0
2019.10.08,9660.0,270.0,9120.0,9660.0,9120.0,201.0
2019.10.07,9390.0,1140.0,8490.0,9390.0,8490.0,201.0
2019.10.04,8250.0,0.0,8700.0,8700.0,8250.0,12.0
2019.10.02,8250.0,150.0,8340.0,8340.0,8250.0,201.0
2019.10.01,8100.0,1410.0,9510.0,9510.0,8100.0,13.0
2019.09.30,9510.0,0.0,9520.0,9520.0,9510.0,20.0
2019.09.27,9510.0,90.0,10000.0,10000.0,9510.0,226.0
2019.09.26,9600.0,90.0,9600.0,9600.0,9600.0,0.0
2019.09.25,9690.0,1210.0,9690.0,9690.0,9690.0,1.0
2019.09.24,8480.0,80.0,8640.0,9590.0,8480.0,202.0
2019.09.23,8400.0,110.0,8760.0,9700.0,7260.0,204.0
2019.09.20,8510.0,330.0,9390.0,9390.0,8510.0,2.0
2019.09.19,8180.0,10.0,8410.0,8410.0,8180.0,201.0
2019.09.18,8170.0,1060.0,8170.0,8170.0,8170.0,1.0
2019.09.17,7110.0,1210.0,8560.0,8560.0,7110.0,201.0
2019.09.16,8320.0,1080.0,8320.0,8320.0,8320.0,1.0
2019.09.11,7240.0,1110.0,9590.0,9590.0,7240.0,2.0
2019.09.10,8350.0,1080.0,7480.0,8350.0,7480.0,201.0
2019.09.09,7270.0,1270.0,8790.0,8790.0,7270.0,204.0
2019.09.06,8540.0,1110.0,8540.0,8540.0,8540.0,200.0
2019.09.05,7430.0,10.0,8530.0,8530.0,7430.0,201.0
2019.09.04,7420.0,1290.0,7420.0,7420.0,7420.0,1.0
2019.09.03,8710.0,250.0,8710.0,8710.0,8710.0,200.0
2019.09.02,8460.0,300.0,8400.0,9380.0,8400.0,301.0
2019.08.30,8160.0,290.0,9050.0,9050.0,8160.0,21.0
2019.08.29,7870.0,1020.0,7870.0,7870.0,7870.0,200.0
2019.08.28,6850.0,1180.0,9230.0,9230.0,6850.0,72.0
2019.08.27,8030.0,10.0,9220.0,9220.0,8030.0,201.0
2019.08.26,8020.0,0.0,8020.0,8020.0,8020.0,100.0
2019.08.23,8020.0,1370.0,10700.0,10700.0,8020.0,4.0
2019.08.22,9390.0,1220.0,9390.0,9390.0,9390.0,40.0
2019.08.21,8170.0,10.0,9380.0,9380.0,8170.0,11.0
2019.08.20,8160.0,960.0,7810.0,10450.0,7810.0,3.0
2019.08.19,9120.0,1480.0,9100.0,12150.0,9100.0,5.0
2019.08.16,10600.0,1800.0,10900.0,10900.0,10600.0,253.0
2019.08.14,12400.0,2150.0,12400.0,12400.0,12400.0,20.0
2019.08.13,14550.0,50.0,14550.0,14550.0,14550.0,0.0
2019.08.12,14600.0,400.0,13800.0,14600.0,13800.0,101.0
2019.08.09,14200.0,350.0,13450.0,14200.0,13450.0,101.0
2019.08.08,13850.0,400.0,13850.0,13850.0,13850.0,100.0
2019.08.07,14250.0,400.0,13450.0,14250.0,13450.0,101.0
2019.08.06,13850.0,400.0,13850.0,13850.0,13850.0,100.0
2019.08.05,14250.0,50.0,13900.0,14250.0,13900.0,101.0
2019.08.02,14300.0,350.0,13550.0,14300.0,13550.0,101.0
2019.08.01,13950.0,500.0,13950.0,13950.0,13950.0,100.0
2019.07.31,14450.0,250.0,13800.0,14450.0,13800.0,101.0
2019.07.30,14200.0,50.0,13850.0,14200.0,13850.0,101.0
2019.07.29,14250.0,350.0,13500.0,14250.0,13500.0,101.0
2019.07.26,13900.0,2400.0,13900.0,13900.0,13900.0,6.0
2019.07.25,16300.0,2050.0,16300.0,16300.0,16300.0,2.0
2019.07.24,14250.0,500.0,14250.0,14250.0,11850.0,3.0
2019.07.23,13750.0,350.0,13050.0,13750.0,13050.0,101.0
2019.07.22,13400.0,50.0,13100.0,13400.0,13100.0,101.0
2019.07.19,13450.0,2350.0,13450.0,13450.0,13450.0,100.0
2019.07.18,15800.0,1700.0,15950.0,15950.0,12050.0,102.0
2019.07.17,14100.0,2450.0,14100.0,14100.0,14100.0,101.0
2019.07.16,16550.0,1000.0,13350.0,16550.0,13350.0,21.0
2019.07.15,15550.0,50.0,15550.0,15550.0,15550.0,1.0
2019.07.12,15600.0,1950.0,15600.0,15600.0,15600.0,1.0
2019.07.11,13650.0,1700.0,12300.0,13650.0,12300.0,101.0
2019.07.10,11950.0,350.0,11950.0,11950.0,11950.0,100.0
2019.07.09,11600.0,0.0,11950.0,11950.0,11600.0,101.0
2019.07.08,11600.0,50.0,11900.0,13000.0,11600.0,102.0
2019.07.05,11550.0,600.0,11550.0,11550.0,11550.0,1.0
2019.07.04,12150.0,350.0,12150.0,12150.0,12150.0,100.0
2019.07.03,11800.0,450.0,11800.0,11800.0,11800.0,1.0
2019.07.02,11350.0,0.0,11350.0,11350.0,11350.0,0.0
2019.07.01,11350.0,1000.0,11350.0,11350.0,11350.0,1.0
2019.06.28,12350.0,1850.0,12100.0,12400.0,12100.0,141.0
2019.06.27,14200.0,2450.0,14200.0,14200.0,14200.0,101.0
2019.06.26,16650.0,400.0,13850.0,16650.0,13850.0,101.0
