date,end_price,price_change,start_price,high,low,quantity
2019.12.04,753.0,0.0,0.0,0.0,0.0,0.0
2019.12.03,753.0,0.0,0.0,0.0,0.0,0.0
2019.12.02,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.29,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.28,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.27,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.26,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.25,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.22,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.21,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.20,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.19,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.18,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.15,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.14,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.13,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.12,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.11,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.08,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.07,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.06,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.05,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.04,753.0,0.0,0.0,0.0,0.0,0.0
2019.11.01,753.0,0.0,0.0,0.0,0.0,0.0
2019.10.31,753.0,0.0,0.0,0.0,0.0,0.0
2019.10.30,753.0,0.0,0.0,0.0,0.0,0.0
2019.10.29,753.0,21.0,781.0,791.0,721.0,2187274.0
2019.10.28,774.0,46.0,822.0,849.0,770.0,2181610.0
2019.10.25,820.0,54.0,871.0,879.0,818.0,2213852.0
2019.10.24,874.0,36.0,913.0,925.0,871.0,2486305.0
2019.10.23,910.0,4.0,920.0,960.0,906.0,1634862.0
2019.10.22,914.0,3.0,917.0,999.0,895.0,2861559.0
2019.10.21,917.0,18.0,920.0,965.0,905.0,1152109.0
2019.10.18,935.0,18.0,954.0,960.0,924.0,1179882.0
2019.10.17,953.0,14.0,980.0,1000.0,948.0,1581543.0
2019.10.16,967.0,31.0,995.0,1070.0,961.0,6140772.0
2019.10.15,998.0,117.0,894.0,1095.0,886.0,15366087.0
2019.10.14,881.0,0.0,881.0,956.0,867.0,4862277.0
2019.10.11,881.0,179.0,825.0,1250.0,818.0,25019314.0
2019.10.10,1060.0,50.0,1125.0,1165.0,1060.0,1631102.0
2019.10.08,1110.0,40.0,1090.0,1145.0,1035.0,2002568.0
2019.10.07,1070.0,10.0,1065.0,1135.0,1050.0,1778921.0
2019.10.04,1080.0,55.0,1035.0,1250.0,1025.0,8488194.0
2019.10.02,1025.0,5.0,1000.0,1055.0,990.0,1399383.0
2019.10.01,1030.0,60.0,999.0,1150.0,970.0,4970366.0
2019.09.30,970.0,170.0,1125.0,1125.0,940.0,4835382.0
2019.09.27,1140.0,105.0,1255.0,1270.0,1120.0,2074634.0
2019.09.26,1245.0,60.0,1315.0,1365.0,1225.0,1431651.0
2019.09.25,1305.0,90.0,1405.0,1415.0,1275.0,1332836.0
2019.09.24,1395.0,30.0,1450.0,1470.0,1380.0,1054183.0
2019.09.23,1425.0,25.0,1395.0,1520.0,1395.0,2264677.0
2019.09.20,1400.0,100.0,1500.0,1510.0,1355.0,3121096.0
2019.09.19,1500.0,170.0,1330.0,1595.0,1330.0,11361964.0
2019.09.18,1330.0,345.0,1610.0,1630.0,1255.0,10373953.0
2019.09.17,1675.0,715.0,2180.0,2290.0,1675.0,18010669.0
2019.09.16,2390.0,20.0,2405.0,2620.0,2380.0,1349692.0
2019.09.11,2410.0,135.0,2530.0,2555.0,2385.0,721591.0
2019.09.10,2545.0,30.0,2515.0,2580.0,2455.0,467345.0
2019.09.09,2515.0,175.0,2680.0,2680.0,2500.0,940046.0
