date,end_price,price_change,start_price,high,low,quantity
2019.12.04,49500.0,700.0,48800.0,50800.0,48600.0,88065.0
2019.12.03,48800.0,550.0,47600.0,49650.0,47350.0,52523.0
2019.12.02,48250.0,700.0,48300.0,49200.0,47700.0,46907.0
2019.11.29,48950.0,1050.0,47900.0,49550.0,47900.0,130951.0
2019.11.28,47900.0,1400.0,49100.0,49650.0,47600.0,133225.0
2019.11.27,49300.0,700.0,50100.0,50500.0,49300.0,77269.0
2019.11.26,50000.0,600.0,50600.0,50800.0,49900.0,99301.0
2019.11.25,50600.0,100.0,51300.0,51800.0,50400.0,51136.0
2019.11.22,50700.0,200.0,50300.0,52200.0,50300.0,65599.0
2019.11.21,50500.0,800.0,50800.0,51400.0,49700.0,88113.0
2019.11.20,51300.0,1000.0,52400.0,52500.0,50800.0,105770.0
2019.11.19,52300.0,900.0,53500.0,53500.0,52100.0,73669.0
2019.11.18,53200.0,0.0,53300.0,53700.0,52800.0,41687.0
2019.11.15,53200.0,600.0,53800.0,54000.0,52900.0,63183.0
2019.11.14,53800.0,100.0,53700.0,54300.0,53400.0,96012.0
2019.11.13,53700.0,300.0,53500.0,53900.0,52600.0,73047.0
2019.11.12,53400.0,600.0,54100.0,54200.0,52900.0,124633.0
2019.11.11,54000.0,2900.0,54000.0,54800.0,52100.0,172427.0
2019.11.08,56900.0,0.0,57300.0,58400.0,56500.0,81956.0
2019.11.07,56900.0,100.0,56900.0,57200.0,56000.0,77104.0
2019.11.06,57000.0,500.0,57500.0,58300.0,56600.0,109169.0
2019.11.05,57500.0,1000.0,58500.0,58800.0,57300.0,96026.0
2019.11.04,58500.0,200.0,58900.0,59200.0,58300.0,89622.0
2019.11.01,58700.0,2200.0,60800.0,60900.0,57700.0,175589.0
2019.10.31,60900.0,400.0,61300.0,61700.0,60900.0,51471.0
2019.10.30,61300.0,1100.0,62400.0,62500.0,60800.0,51480.0
2019.10.29,62400.0,500.0,62300.0,63300.0,62000.0,63059.0
2019.10.28,61900.0,300.0,61300.0,62600.0,61300.0,36221.0
2019.10.25,61600.0,400.0,61700.0,62100.0,60800.0,66808.0
2019.10.24,62000.0,200.0,62000.0,62700.0,61000.0,50431.0
2019.10.23,61800.0,700.0,62300.0,63000.0,61700.0,41232.0
2019.10.22,62500.0,300.0,62100.0,62700.0,61700.0,50777.0
2019.10.21,62200.0,200.0,62300.0,63100.0,61800.0,45210.0
2019.10.18,62400.0,1300.0,64300.0,64700.0,62300.0,52318.0
2019.10.17,63700.0,100.0,64000.0,65200.0,63500.0,45815.0
2019.10.16,63800.0,700.0,63500.0,64400.0,63200.0,57072.0
2019.10.15,63100.0,100.0,63200.0,63800.0,62900.0,41504.0
2019.10.14,63200.0,200.0,64100.0,64200.0,62900.0,43192.0
2019.10.11,63400.0,1000.0,62600.0,64600.0,62300.0,55861.0
2019.10.10,62400.0,400.0,62800.0,62900.0,61700.0,37232.0
2019.10.08,62800.0,400.0,61900.0,63100.0,60500.0,79843.0
2019.10.07,62400.0,100.0,62800.0,63400.0,62000.0,50293.0
2019.10.04,62500.0,100.0,62200.0,63800.0,62100.0,43095.0
2019.10.02,62400.0,1400.0,63000.0,63600.0,62200.0,58005.0
2019.10.01,63800.0,200.0,63200.0,64200.0,63000.0,53894.0
2019.09.30,64000.0,1900.0,65500.0,65500.0,63800.0,47629.0
2019.09.27,65900.0,1000.0,65200.0,65900.0,64000.0,36519.0
2019.09.26,64900.0,600.0,66500.0,66600.0,63500.0,65089.0
