date,end_price,price_change,start_price,high,low,quantity
2019.12.04,1395.0,20.0,1405.0,1410.0,1390.0,284179.0
2019.12.03,1415.0,25.0,1420.0,1430.0,1405.0,328937.0
2019.12.02,1440.0,0.0,1440.0,1455.0,1430.0,216997.0
2019.11.29,1440.0,15.0,1455.0,1465.0,1440.0,420977.0
2019.11.28,1455.0,20.0,1475.0,1485.0,1450.0,321549.0
2019.11.27,1475.0,10.0,1480.0,1495.0,1465.0,292292.0
2019.11.26,1485.0,30.0,1470.0,1505.0,1455.0,790145.0
2019.11.25,1455.0,15.0,1440.0,1500.0,1440.0,577972.0
2019.11.22,1440.0,15.0,1460.0,1475.0,1435.0,451097.0
2019.11.21,1455.0,40.0,1475.0,1505.0,1455.0,966715.0
2019.11.20,1495.0,60.0,1545.0,1570.0,1490.0,2365120.0
2019.11.19,1555.0,5.0,1570.0,1570.0,1535.0,821371.0
2019.11.18,1550.0,15.0,1575.0,1575.0,1545.0,1209617.0
2019.11.15,1565.0,15.0,1545.0,1565.0,1525.0,1828998.0
2019.11.14,1550.0,5.0,1565.0,1565.0,1535.0,799926.0
2019.11.13,1555.0,45.0,1530.0,1610.0,1510.0,5623206.0
2019.11.12,1510.0,15.0,1495.0,1525.0,1490.0,419454.0
2019.11.11,1495.0,10.0,1505.0,1515.0,1490.0,368254.0
2019.11.08,1505.0,15.0,1555.0,1565.0,1505.0,1330952.0
2019.11.07,1520.0,10.0,1500.0,1525.0,1490.0,1133239.0
2019.11.06,1510.0,15.0,1530.0,1535.0,1490.0,435405.0
2019.11.05,1525.0,30.0,1495.0,1530.0,1485.0,660026.0
2019.11.04,1495.0,20.0,1485.0,1500.0,1470.0,304505.0
2019.11.01,1475.0,5.0,1465.0,1480.0,1455.0,220884.0
2019.10.31,1470.0,0.0,1470.0,1485.0,1465.0,191329.0
2019.10.30,1470.0,25.0,1485.0,1495.0,1450.0,382635.0
2019.10.29,1495.0,20.0,1475.0,1495.0,1460.0,299231.0
2019.10.28,1475.0,15.0,1460.0,1490.0,1460.0,284750.0
2019.10.25,1460.0,20.0,1480.0,1485.0,1455.0,304785.0
2019.10.24,1480.0,40.0,1520.0,1525.0,1470.0,427779.0
2019.10.23,1520.0,45.0,1475.0,1550.0,1475.0,1088511.0
2019.10.22,1475.0,20.0,1485.0,1495.0,1450.0,543495.0
2019.10.21,1495.0,5.0,1485.0,1510.0,1475.0,230798.0
2019.10.18,1500.0,40.0,1535.0,1550.0,1495.0,343144.0
2019.10.17,1540.0,10.0,1550.0,1560.0,1530.0,382372.0
2019.10.16,1550.0,0.0,1550.0,1570.0,1535.0,440391.0
2019.10.15,1550.0,5.0,1560.0,1560.0,1540.0,667259.0
2019.10.14,1555.0,25.0,1565.0,1575.0,1525.0,1153884.0
2019.10.11,1530.0,50.0,1490.0,1575.0,1490.0,2716723.0
2019.10.10,1480.0,5.0,1465.0,1490.0,1465.0,212767.0
