date,end_price,price_change,start_price,high,low,quantity
2019.12.06,1050.0,40.0,1160.0,1160.0,1050.0,34.0
2019.12.05,1010.0,0.0,1010.0,1010.0,1010.0,0.0
2019.12.04,1010.0,165.0,1010.0,1010.0,1010.0,100.0
2019.12.03,1175.0,185.0,1550.0,1550.0,1175.0,11.0
2019.12.02,1360.0,240.0,1360.0,1840.0,1360.0,2846.0
2019.11.29,1600.0,110.0,1500.0,1600.0,1500.0,6.0
2019.11.28,1710.0,220.0,1710.0,1710.0,1710.0,2.0
2019.11.27,1490.0,260.0,2000.0,2000.0,1490.0,10664.0
2019.11.26,1750.0,160.0,1370.0,1750.0,1360.0,1608.0
2019.11.25,1590.0,60.0,1895.0,1895.0,1590.0,38.0
2019.11.22,1650.0,240.0,1680.0,1680.0,1650.0,2100.0
2019.11.21,1890.0,190.0,1890.0,1890.0,1890.0,1.0
2019.11.20,1700.0,250.0,1700.0,1700.0,1700.0,320.0
2019.11.19,1950.0,240.0,1950.0,1950.0,1950.0,1.0
2019.11.18,1710.0,240.0,1950.0,1950.0,1700.0,505.0
2019.11.15,1950.0,50.0,1700.0,1950.0,1700.0,53.0
2019.11.14,2000.0,55.0,2000.0,2000.0,1660.0,6310.0
2019.11.13,1945.0,100.0,2350.0,2350.0,1740.0,2401.0
2019.11.12,2045.0,265.0,2045.0,2045.0,2045.0,5.0
2019.11.11,1780.0,230.0,1780.0,1780.0,1780.0,1.0
2019.11.08,1550.0,5.0,1550.0,1550.0,1550.0,138.0
2019.11.07,1545.0,0.0,1545.0,1545.0,1545.0,0.0
2019.11.06,1545.0,0.0,1545.0,1545.0,1545.0,0.0
2019.11.05,1545.0,45.0,1545.0,1545.0,1545.0,1.0
2019.11.04,1500.0,50.0,1600.0,1600.0,1500.0,1001.0
2019.11.01,1550.0,0.0,1550.0,1550.0,1550.0,834.0
2019.10.31,1550.0,25.0,1550.0,1550.0,1550.0,980.0
2019.10.30,1575.0,5.0,1575.0,1575.0,1575.0,0.0
2019.10.29,1580.0,0.0,1580.0,1580.0,1580.0,0.0
2019.10.28,1580.0,30.0,1580.0,1580.0,1580.0,380.0
2019.10.25,1550.0,0.0,1550.0,1550.0,1550.0,1000.0
2019.10.24,1550.0,0.0,1775.0,1775.0,1550.0,175.0
2019.10.23,1550.0,50.0,1500.0,1550.0,1500.0,2840.0
2019.10.22,1600.0,100.0,1600.0,1600.0,1600.0,1.0
2019.10.21,1500.0,100.0,1500.0,1500.0,1500.0,1000.0
2019.10.18,1400.0,0.0,1400.0,1400.0,1400.0,0.0
2019.10.17,1400.0,50.0,1490.0,1490.0,1400.0,55.0
