date,end_price,price_change,start_price,high,low,quantity
2019.12.04,2745.0,250.0,2130.0,2745.0,2125.0,505.0
2019.12.03,2495.0,205.0,2595.0,2595.0,2025.0,86.0
2019.12.02,2290.0,0.0,2190.0,2290.0,2190.0,2922.0
2019.11.29,2290.0,0.0,2290.0,2290.0,2290.0,5.0
2019.11.28,2290.0,10.0,2290.0,2290.0,2290.0,28.0
2019.11.27,2300.0,0.0,2300.0,2300.0,2300.0,10.0
2019.11.26,2300.0,0.0,2300.0,2300.0,2300.0,0.0
2019.11.25,2300.0,50.0,2300.0,2300.0,2300.0,0.0
2019.11.22,2250.0,345.0,2235.0,2250.0,2230.0,1869.0
2019.11.21,2595.0,5.0,2300.0,2595.0,2210.0,299.0
2019.11.20,2600.0,320.0,1960.0,2600.0,1960.0,302.0
2019.11.19,2280.0,290.0,2285.0,2285.0,2280.0,2.0
2019.11.18,1990.0,310.0,2645.0,2645.0,1990.0,5.0
2019.11.15,2300.0,5.0,2650.0,2650.0,2300.0,2.0
2019.11.14,2305.0,0.0,2650.0,2650.0,2305.0,2.0
2019.11.13,2305.0,390.0,2400.0,2700.0,2295.0,9.0
2019.11.12,2695.0,0.0,2695.0,2695.0,2695.0,0.0
2019.11.11,2695.0,0.0,2695.0,2695.0,2695.0,0.0
2019.11.08,2695.0,50.0,2700.0,2700.0,2250.0,3.0
2019.11.07,2645.0,0.0,2645.0,2645.0,2645.0,0.0
2019.11.06,2645.0,0.0,2645.0,2645.0,2645.0,0.0
2019.11.05,2645.0,345.0,2300.0,2645.0,2300.0,2.0
2019.11.04,2300.0,390.0,2700.0,2700.0,2300.0,2.0
2019.11.01,2690.0,5.0,2690.0,2690.0,2690.0,0.0
2019.10.31,2695.0,0.0,2695.0,2695.0,2695.0,0.0
2019.10.30,2695.0,5.0,2695.0,2695.0,2695.0,3.0
2019.10.29,2700.0,0.0,2700.0,2700.0,2700.0,1.0
2019.10.28,2700.0,65.0,2700.0,2700.0,2700.0,1.0
2019.10.25,2635.0,340.0,2635.0,2635.0,2635.0,1.0
2019.10.24,2295.0,405.0,2700.0,2700.0,2295.0,666.0
2019.10.23,2700.0,25.0,2275.0,2700.0,2275.0,1784.0
2019.10.22,2675.0,20.0,2675.0,2675.0,2675.0,1.0
2019.10.21,2695.0,0.0,2695.0,2695.0,2695.0,1.0
2019.10.18,2695.0,130.0,2565.0,2695.0,2565.0,2.0
2019.10.17,2565.0,270.0,2595.0,2595.0,1955.0,3859.0
2019.10.16,2295.0,405.0,2295.0,2295.0,2295.0,1.0
2019.10.15,2700.0,110.0,2700.0,2700.0,2700.0,1.0
2019.10.14,2590.0,10.0,2590.0,2590.0,2590.0,0.0
2019.10.11,2600.0,0.0,2600.0,2600.0,2600.0,2.0
2019.10.10,2600.0,45.0,2600.0,2600.0,2600.0,0.0
2019.10.08,2645.0,0.0,2645.0,2645.0,2645.0,0.0
2019.10.07,2645.0,355.0,2645.0,2645.0,2645.0,0.0
2019.10.04,3000.0,350.0,3000.0,3000.0,3000.0,1.0
2019.10.02,2650.0,50.0,2650.0,2650.0,2650.0,0.0
2019.10.01,2700.0,0.0,2700.0,2700.0,2700.0,1105.0
2019.09.30,2700.0,0.0,2700.0,2700.0,2700.0,1.0
2019.09.27,2700.0,150.0,2700.0,2700.0,2700.0,1.0
2019.09.26,2550.0,50.0,2550.0,2550.0,2550.0,0.0
2019.09.25,2600.0,95.0,2600.0,2600.0,2600.0,0.0
2019.09.24,2695.0,0.0,2695.0,2695.0,2695.0,2.0
2019.09.23,2695.0,5.0,2695.0,2695.0,2695.0,1.0
2019.09.20,2700.0,15.0,2700.0,2700.0,2700.0,1.0
2019.09.19,2685.0,80.0,2685.0,2685.0,2685.0,1.0
2019.09.18,2605.0,5.0,2690.0,2690.0,2605.0,2.0
2019.09.17,2600.0,100.0,2600.0,2600.0,2600.0,108.0
2019.09.16,2700.0,195.0,2700.0,2700.0,2700.0,1.0
2019.09.11,2505.0,325.0,2505.0,2505.0,2505.0,1.0
2019.09.10,2180.0,280.0,2180.0,2180.0,2180.0,1.0
2019.09.09,1900.0,100.0,1900.0,1900.0,1900.0,110.0
2019.09.06,2000.0,0.0,2000.0,2000.0,1850.0,3.0
2019.09.05,2000.0,250.0,2000.0,2000.0,2000.0,1.0
2019.09.04,1750.0,250.0,2300.0,2300.0,1750.0,2.0
2019.09.03,2000.0,245.0,2000.0,2000.0,2000.0,8.0
2019.09.02,1755.0,245.0,2300.0,2300.0,1755.0,2.0
2019.08.30,2000.0,250.0,2000.0,2000.0,2000.0,30.0
2019.08.29,1750.0,100.0,1850.0,1850.0,1580.0,2449.0
2019.08.28,1850.0,125.0,1970.0,1970.0,1850.0,2.0
2019.08.27,1975.0,0.0,1975.0,1975.0,1975.0,0.0
2019.08.26,1975.0,0.0,2095.0,2095.0,1975.0,102.0
2019.08.23,1975.0,200.0,2160.0,2160.0,1975.0,2.0
2019.08.22,2175.0,10.0,2175.0,2175.0,2175.0,1.0
2019.08.21,2185.0,15.0,2195.0,2200.0,1880.0,6086.0
2019.08.20,2200.0,15.0,1895.0,2200.0,1895.0,2939.0
2019.08.19,2215.0,385.0,2340.0,2340.0,2215.0,1168.0
2019.08.16,2600.0,100.0,2600.0,2600.0,2600.0,11.0
2019.08.14,2700.0,85.0,2700.0,2700.0,2700.0,0.0
2019.08.13,2785.0,10.0,2785.0,2785.0,2785.0,40.0
2019.08.12,2795.0,0.0,2795.0,2795.0,2795.0,0.0
2019.08.09,2795.0,5.0,2795.0,2795.0,2795.0,0.0
2019.08.08,2800.0,0.0,2800.0,2800.0,2800.0,0.0
2019.08.07,2800.0,40.0,2800.0,2800.0,2800.0,0.0
2019.08.06,2840.0,0.0,2840.0,2840.0,2840.0,0.0
2019.08.05,2840.0,10.0,2840.0,2840.0,2840.0,0.0
2019.08.02,2850.0,50.0,2850.0,2850.0,2850.0,0.0
2019.08.01,2900.0,35.0,2900.0,2900.0,2900.0,0.0
2019.07.31,2935.0,15.0,2935.0,2935.0,2935.0,0.0
2019.07.30,2950.0,295.0,3050.0,3050.0,2950.0,141.0
2019.07.29,2655.0,0.0,2655.0,2655.0,2655.0,0.0
2019.07.26,2655.0,0.0,2310.0,2655.0,2310.0,401.0
2019.07.25,2655.0,0.0,2655.0,2655.0,2655.0,0.0
2019.07.24,2655.0,0.0,2655.0,2655.0,2655.0,330.0
2019.07.23,2655.0,0.0,2655.0,2655.0,2655.0,0.0
2019.07.22,2655.0,75.0,2655.0,2655.0,2655.0,170.0
2019.07.19,2730.0,0.0,2730.0,2730.0,2730.0,0.0
2019.07.18,2730.0,315.0,2745.0,2745.0,2725.0,1101.0
2019.07.17,2415.0,380.0,2415.0,2740.0,2415.0,155.0
2019.07.16,2795.0,25.0,2820.0,2820.0,2550.0,1797.0
2019.07.15,2820.0,10.0,2750.0,2820.0,2750.0,406.0
2019.07.12,2830.0,0.0,2830.0,2830.0,2830.0,0.0
2019.07.11,2830.0,0.0,2830.0,2830.0,2830.0,0.0
2019.07.10,2830.0,0.0,2830.0,2830.0,2830.0,0.0
2019.07.09,2830.0,0.0,2830.0,2830.0,2830.0,0.0
2019.07.08,2830.0,0.0,2830.0,2830.0,2830.0,0.0
2019.07.05,2830.0,5.0,2830.0,2830.0,2830.0,774.0
2019.07.04,2825.0,80.0,2825.0,2825.0,2825.0,316.0
2019.07.03,2905.0,5.0,2905.0,2905.0,2905.0,4.0
2019.07.02,2910.0,0.0,2910.0,2910.0,2910.0,0.0
2019.07.01,2910.0,0.0,2910.0,2910.0,2910.0,0.0
2019.06.28,2910.0,0.0,2910.0,2910.0,2910.0,0.0
2019.06.27,2910.0,85.0,2910.0,2910.0,2910.0,384.0
2019.06.26,2995.0,310.0,2995.0,2995.0,2995.0,1001.0
2019.06.25,2685.0,315.0,2620.0,2685.0,2620.0,784.0
2019.06.24,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.06.21,3000.0,0.0,3000.0,3000.0,3000.0,337.0
2019.06.20,3000.0,165.0,3000.0,3000.0,3000.0,3958.0
2019.06.19,3165.0,90.0,3165.0,3165.0,3165.0,400.0
2019.06.18,3255.0,95.0,3255.0,3255.0,3255.0,400.0
2019.06.17,3350.0,435.0,2800.0,3350.0,2800.0,759.0
2019.06.14,2915.0,0.0,2915.0,2915.0,2915.0,0.0
2019.06.13,2915.0,0.0,2915.0,2915.0,2915.0,0.0
2019.06.12,2915.0,85.0,2915.0,2915.0,2915.0,344.0
2019.06.11,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.06.10,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.06.07,3000.0,0.0,3000.0,3000.0,3000.0,500.0
2019.06.05,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.06.04,3000.0,100.0,3000.0,3000.0,3000.0,340.0
2019.06.03,3100.0,80.0,3100.0,3100.0,3100.0,0.0
2019.05.31,3180.0,110.0,3180.0,3180.0,3180.0,400.0
2019.05.30,3290.0,95.0,3290.0,3290.0,3290.0,400.0
2019.05.29,3385.0,320.0,3000.0,3385.0,2900.0,3101.0
2019.05.28,3065.0,85.0,3065.0,3065.0,3065.0,750.0
2019.05.27,2980.0,0.0,2980.0,2980.0,2980.0,0.0
2019.05.24,2980.0,0.0,2980.0,2980.0,2980.0,100.0
2019.05.23,2980.0,0.0,2980.0,2980.0,2980.0,1000.0
2019.05.22,2980.0,0.0,2980.0,2980.0,2980.0,200.0
2019.05.21,2980.0,20.0,2980.0,2980.0,2980.0,0.0
2019.05.20,3000.0,300.0,3000.0,3000.0,3000.0,400.0
2019.05.17,3300.0,300.0,3010.0,3300.0,3000.0,3006.0
2019.05.16,3000.0,290.0,3195.0,3250.0,3000.0,965.0
2019.05.15,3290.0,95.0,3290.0,3290.0,3290.0,400.0
2019.05.14,3385.0,0.0,3385.0,3385.0,3385.0,24.0
2019.05.13,3385.0,95.0,3400.0,3400.0,3300.0,502.0
2019.05.10,3290.0,390.0,3300.0,3300.0,2800.0,6.0
2019.05.09,2900.0,490.0,3425.0,3425.0,2900.0,4.0
2019.05.08,3390.0,390.0,3425.0,3425.0,2750.0,12.0
2019.05.07,3000.0,0.0,3000.0,3000.0,3000.0,431.0
2019.05.03,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.05.02,3000.0,0.0,3000.0,3000.0,3000.0,0.0
2019.04.30,3000.0,0.0,3000.0,3000.0,3000.0,900.0
2019.04.29,3000.0,45.0,3420.0,3420.0,2760.0,3352.0
2019.04.26,3045.0,140.0,3090.0,3090.0,3045.0,6.0
2019.04.25,3185.0,15.0,3195.0,3195.0,3185.0,16.0
2019.04.24,3200.0,150.0,3200.0,3200.0,2900.0,4.0
2019.04.23,3350.0,435.0,3350.0,3350.0,3350.0,3.0
2019.04.22,2915.0,510.0,3000.0,3000.0,2915.0,1283.0
2019.04.19,3425.0,40.0,3425.0,3425.0,3425.0,2.0
2019.04.18,3385.0,385.0,3385.0,3385.0,3385.0,2.0
2019.04.17,3000.0,295.0,2850.0,3400.0,2805.0,3176.0
