date,end_price,price_change,start_price,high,low,quantity
2019.12.04,10850.0,50.0,10800.0,11000.0,10700.0,25630.0
2019.12.03,10900.0,100.0,10950.0,11250.0,10850.0,62238.0
2019.12.02,11000.0,400.0,11400.0,11500.0,10950.0,87226.0
2019.11.29,11400.0,200.0,11850.0,12100.0,11250.0,142505.0
2019.11.28,11600.0,250.0,11350.0,11700.0,11200.0,92032.0
2019.11.27,11350.0,100.0,11400.0,11600.0,11250.0,36086.0
2019.11.26,11450.0,0.0,11500.0,11650.0,11350.0,32597.0
2019.11.25,11450.0,450.0,11000.0,11700.0,11000.0,67652.0
2019.11.22,11000.0,50.0,11050.0,11300.0,10950.0,40766.0
2019.11.21,11050.0,650.0,11500.0,11700.0,11050.0,103242.0
2019.11.20,11700.0,50.0,11650.0,11850.0,11450.0,79541.0
2019.11.19,11650.0,50.0,11700.0,11850.0,11550.0,52765.0
2019.11.18,11700.0,100.0,11800.0,12450.0,11700.0,296860.0
2019.11.15,11800.0,50.0,11800.0,11900.0,11650.0,48243.0
2019.11.14,11850.0,50.0,11750.0,12200.0,11700.0,76597.0
2019.11.13,11900.0,50.0,11950.0,11950.0,11650.0,100728.0
2019.11.12,11950.0,150.0,12200.0,12200.0,11800.0,103316.0
2019.11.11,12100.0,50.0,12250.0,12300.0,11650.0,182767.0
2019.11.08,12150.0,200.0,12300.0,12400.0,11950.0,287793.0
2019.11.07,12350.0,1000.0,11350.0,12400.0,11250.0,860840.0
2019.11.06,11350.0,100.0,11400.0,11600.0,11150.0,233692.0
2019.11.05,11250.0,100.0,11150.0,11300.0,11000.0,153843.0
2019.11.04,11150.0,350.0,10900.0,11150.0,10800.0,134993.0
2019.11.01,10800.0,100.0,10750.0,10950.0,10650.0,47309.0
2019.10.31,10700.0,0.0,10750.0,10850.0,10650.0,49038.0
2019.10.30,10700.0,200.0,10900.0,10950.0,10650.0,70307.0
2019.10.29,10900.0,200.0,11200.0,11200.0,10800.0,83741.0
2019.10.28,11100.0,50.0,10900.0,11100.0,10800.0,64167.0
2019.10.25,11050.0,400.0,10500.0,11150.0,10500.0,175520.0
2019.10.24,10650.0,0.0,10550.0,10650.0,10400.0,68008.0
2019.10.23,10650.0,200.0,10550.0,11200.0,10450.0,174195.0
2019.10.22,10450.0,300.0,10700.0,10850.0,10350.0,136563.0
2019.10.21,10750.0,350.0,11100.0,11150.0,10750.0,76671.0
2019.10.18,11100.0,300.0,10800.0,11250.0,10600.0,105440.0
2019.10.17,10800.0,0.0,10750.0,10950.0,10650.0,59603.0
2019.10.16,10800.0,600.0,11850.0,11900.0,10800.0,418744.0
2019.10.15,11400.0,700.0,10800.0,11400.0,10750.0,283815.0
2019.10.14,10700.0,0.0,10700.0,10900.0,10550.0,90315.0
2019.10.11,10700.0,700.0,10000.0,10800.0,10000.0,219704.0
2019.10.10,10000.0,0.0,10000.0,10150.0,9940.0,42122.0
2019.10.08,10000.0,0.0,10000.0,10050.0,9930.0,51647.0
2019.10.07,10000.0,20.0,10100.0,10100.0,9980.0,41696.0
2019.10.04,9980.0,20.0,10000.0,10150.0,9850.0,27491.0
2019.10.02,10000.0,100.0,10000.0,10300.0,9970.0,38680.0
2019.10.01,10100.0,50.0,10000.0,10150.0,9750.0,34462.0
2019.09.30,10050.0,150.0,10100.0,10250.0,9760.0,77286.0
2019.09.27,10200.0,250.0,10500.0,10550.0,10050.0,64131.0
2019.09.26,10450.0,50.0,10400.0,10700.0,10350.0,58866.0
2019.09.25,10400.0,250.0,10650.0,10900.0,10300.0,94897.0
2019.09.24,10650.0,0.0,10550.0,11200.0,10500.0,262313.0
