date,end_price,price_change,start_price,high,low,quantity
2019.12.04,3780.0,125.0,3875.0,3945.0,3710.0,320978.0
2019.12.03,3905.0,85.0,3940.0,3990.0,3870.0,274486.0
2019.12.02,3990.0,20.0,4010.0,4035.0,3930.0,181323.0
2019.11.29,3970.0,40.0,4055.0,4160.0,3950.0,982070.0
2019.11.28,3930.0,115.0,4000.0,4100.0,3875.0,736326.0
2019.11.27,4045.0,15.0,4105.0,4220.0,4035.0,1359607.0
2019.11.26,4060.0,210.0,4360.0,4360.0,4045.0,996377.0
2019.11.25,4270.0,335.0,3940.0,4285.0,3940.0,572823.0
2019.11.22,3935.0,70.0,4005.0,4025.0,3800.0,174803.0
2019.11.21,4005.0,90.0,4050.0,4135.0,3880.0,349513.0
2019.11.20,4095.0,145.0,4265.0,4310.0,4060.0,359634.0
2019.11.19,4240.0,125.0,4120.0,4265.0,4050.0,453210.0
2019.11.18,4115.0,55.0,4050.0,4125.0,4035.0,432350.0
2019.11.15,4060.0,0.0,4050.0,4070.0,3940.0,293567.0
2019.11.14,4060.0,25.0,4040.0,4125.0,3925.0,430827.0
2019.11.13,4085.0,35.0,4150.0,4170.0,4060.0,289947.0
2019.11.12,4120.0,145.0,4220.0,4310.0,4075.0,515908.0
2019.11.11,4265.0,135.0,4400.0,4430.0,4180.0,490346.0
2019.11.08,4400.0,40.0,4570.0,4605.0,4390.0,929199.0
2019.11.07,4440.0,10.0,4435.0,4520.0,4335.0,692315.0
2019.11.06,4450.0,180.0,4260.0,4450.0,4190.0,1198392.0
2019.11.05,4270.0,15.0,4255.0,4310.0,4175.0,744703.0
2019.11.04,4255.0,0.0,4290.0,4370.0,4235.0,750069.0
2019.11.01,4255.0,155.0,4355.0,4380.0,4200.0,1050562.0
2019.10.31,4410.0,380.0,4035.0,4620.0,4030.0,5085160.0
2019.10.30,4030.0,130.0,3915.0,4120.0,3880.0,795326.0
2019.10.29,3900.0,60.0,3855.0,3915.0,3855.0,144328.0
2019.10.28,3840.0,30.0,3890.0,3965.0,3840.0,252182.0
2019.10.25,3870.0,20.0,3970.0,3980.0,3835.0,228159.0
2019.10.24,3890.0,45.0,3810.0,3970.0,3810.0,453217.0
2019.10.23,3845.0,5.0,3840.0,3970.0,3805.0,368771.0
2019.10.22,3840.0,110.0,3935.0,3980.0,3790.0,596182.0
2019.10.21,3950.0,85.0,4030.0,4055.0,3900.0,322601.0
2019.10.18,4035.0,30.0,4310.0,4335.0,4030.0,1687955.0
2019.10.17,4065.0,40.0,4095.0,4135.0,4000.0,725576.0
2019.10.16,4105.0,20.0,4150.0,4150.0,4065.0,246986.0
2019.10.15,4085.0,65.0,3980.0,4145.0,3980.0,607326.0
2019.10.14,4020.0,210.0,3825.0,4100.0,3825.0,978735.0
2019.10.11,3810.0,15.0,3795.0,3865.0,3775.0,196761.0
2019.10.10,3795.0,25.0,3815.0,3935.0,3780.0,233833.0
2019.10.08,3820.0,20.0,3800.0,3840.0,3735.0,223935.0
2019.10.07,3800.0,25.0,3880.0,3880.0,3750.0,288644.0
2019.10.04,3825.0,5.0,3825.0,3880.0,3780.0,227064.0
2019.10.02,3830.0,60.0,3890.0,3955.0,3680.0,287122.0
2019.10.01,3890.0,80.0,3975.0,4045.0,3840.0,374000.0
2019.09.30,3970.0,40.0,4015.0,4080.0,3825.0,402576.0
2019.09.27,4010.0,210.0,3750.0,4115.0,3750.0,732537.0
2019.09.26,3800.0,40.0,3735.0,3860.0,3735.0,696125.0
2019.09.25,3760.0,335.0,4095.0,4110.0,3680.0,904239.0
2019.09.24,4095.0,40.0,4100.0,4160.0,4060.0,225991.0
2019.09.23,4135.0,105.0,4230.0,4230.0,4125.0,345425.0
2019.09.20,4240.0,30.0,4200.0,4290.0,4180.0,306400.0
2019.09.19,4270.0,50.0,4225.0,4445.0,4185.0,544705.0
2019.09.18,4220.0,95.0,4130.0,4240.0,4070.0,321441.0
2019.09.17,4125.0,115.0,3960.0,4135.0,3860.0,318834.0
2019.09.16,4010.0,80.0,4090.0,4100.0,3975.0,242481.0
2019.09.11,4090.0,25.0,4060.0,4110.0,4060.0,163715.0
2019.09.10,4065.0,5.0,4040.0,4155.0,4040.0,195193.0
2019.09.09,4070.0,15.0,4085.0,4230.0,4070.0,403830.0
2019.09.06,4085.0,115.0,4265.0,4290.0,4040.0,489914.0
2019.09.05,4200.0,130.0,4370.0,4400.0,4150.0,655631.0
2019.09.04,4330.0,130.0,4175.0,4330.0,4145.0,713347.0
2019.09.03,4200.0,65.0,4120.0,4225.0,4070.0,464825.0
2019.09.02,4135.0,105.0,3950.0,4330.0,3860.0,2011262.0
2019.08.30,4030.0,470.0,4550.0,4570.0,4000.0,2743527.0
2019.08.29,4500.0,850.0,5390.0,5540.0,4380.0,2234738.0
2019.08.28,5350.0,210.0,5150.0,5400.0,5100.0,337268.0
2019.08.27,5140.0,80.0,5080.0,5180.0,4995.0,215525.0
2019.08.26,5060.0,30.0,4850.0,5060.0,4800.0,281346.0
2019.08.23,5030.0,60.0,5010.0,5110.0,4925.0,210079.0
2019.08.22,5090.0,100.0,5200.0,5310.0,5000.0,296569.0
2019.08.21,5190.0,20.0,5190.0,5310.0,5120.0,238638.0
2019.08.20,5170.0,60.0,5130.0,5190.0,5050.0,191623.0
2019.08.19,5110.0,60.0,5120.0,5200.0,5000.0,321296.0
2019.08.16,5170.0,190.0,5260.0,5340.0,5010.0,461794.0
2019.08.14,5360.0,160.0,5650.0,5790.0,5250.0,665996.0
2019.08.13,5520.0,300.0,5790.0,5870.0,5520.0,733974.0
2019.08.12,5820.0,620.0,5200.0,5920.0,5200.0,2028603.0
2019.08.09,5200.0,210.0,5330.0,5410.0,5040.0,664018.0
2019.08.08,5410.0,270.0,5100.0,5520.0,5050.0,1107455.0
2019.08.07,5140.0,220.0,4900.0,5170.0,4900.0,364090.0
2019.08.06,4920.0,5.0,4795.0,5250.0,4390.0,742508.0
2019.08.05,4915.0,315.0,5230.0,5260.0,4710.0,609694.0
2019.08.02,5230.0,90.0,4905.0,5410.0,4900.0,549919.0
2019.08.01,5140.0,130.0,5190.0,5330.0,5060.0,315090.0
2019.07.31,5270.0,160.0,5350.0,5500.0,5000.0,622552.0
2019.07.30,5430.0,170.0,5600.0,5740.0,5300.0,718716.0
2019.07.29,5600.0,470.0,5880.0,6000.0,5590.0,758093.0
2019.07.26,6070.0,170.0,5900.0,6420.0,5840.0,899003.0
2019.07.25,5900.0,260.0,6100.0,6140.0,5830.0,700499.0
2019.07.24,6160.0,400.0,6550.0,6610.0,5900.0,1470331.0
2019.07.23,6560.0,420.0,6110.0,6570.0,6110.0,1937375.0
2019.07.22,6140.0,200.0,6000.0,6220.0,5820.0,1032312.0
2019.07.19,5940.0,230.0,5650.0,5940.0,5650.0,608420.0
2019.07.18,5710.0,60.0,5640.0,5910.0,5570.0,530819.0
2019.07.17,5650.0,200.0,5260.0,5710.0,5260.0,511868.0
2019.07.16,5450.0,250.0,5770.0,6000.0,5350.0,1961814.0
2019.07.15,5700.0,80.0,5660.0,5850.0,5560.0,1086197.0
2019.07.12,5620.0,420.0,5250.0,6130.0,5150.0,3769465.0
2019.07.11,5200.0,50.0,5150.0,5390.0,5100.0,763523.0
2019.07.10,5150.0,80.0,5210.0,5270.0,5100.0,213094.0
2019.07.09,5230.0,130.0,5000.0,5230.0,4975.0,278145.0
2019.07.08,5100.0,130.0,5420.0,5450.0,4955.0,899252.0
2019.07.05,5230.0,30.0,5230.0,5340.0,5100.0,437015.0
2019.07.04,5260.0,295.0,4950.0,5290.0,4915.0,848952.0
2019.07.03,4965.0,95.0,5050.0,5050.0,4815.0,719221.0
2019.07.02,5060.0,140.0,5200.0,5230.0,4950.0,911678.0
2019.07.01,5200.0,200.0,5440.0,5470.0,5110.0,862035.0
2019.06.28,5400.0,150.0,5330.0,5430.0,5140.0,1245173.0
2019.06.27,5250.0,320.0,4910.0,5400.0,4775.0,2643474.0
2019.06.26,4930.0,80.0,5090.0,5530.0,4710.0,2551366.0
2019.06.25,5010.0,170.0,4815.0,5040.0,4730.0,961158.0
2019.06.24,4840.0,140.0,4700.0,5160.0,4650.0,1393898.0
2019.06.21,4700.0,115.0,4635.0,4860.0,4555.0,693237.0
