date,end_price,price_change,start_price,high,low,quantity
2019.12.04,6840.0,10.0,6840.0,6840.0,6840.0,1.0
2019.12.03,6850.0,730.0,6850.0,6850.0,6510.0,6.0
2019.12.02,7580.0,890.0,6650.0,7580.0,6430.0,1389.0
2019.11.29,6690.0,10.0,6700.0,6700.0,6690.0,2.0
2019.11.28,6700.0,50.0,6750.0,6750.0,6400.0,602.0
2019.11.27,6750.0,0.0,6750.0,6750.0,6750.0,1.0
2019.11.26,6750.0,50.0,6800.0,6800.0,6480.0,254.0
2019.11.25,6800.0,0.0,6820.0,6820.0,6800.0,156.0
2019.11.22,6800.0,1190.0,6840.0,7280.0,6800.0,3152.0
2019.11.21,7990.0,720.0,7990.0,7990.0,7990.0,1.0
2019.11.20,7270.0,740.0,7400.0,7400.0,7270.0,74.0
2019.11.19,6530.0,260.0,6690.0,6690.0,6470.0,342.0
2019.11.18,6790.0,180.0,6790.0,6790.0,6790.0,0.0
2019.11.15,6970.0,490.0,6480.0,6970.0,6300.0,723.0
2019.11.14,6480.0,0.0,6480.0,6480.0,6480.0,525.0
2019.11.13,6480.0,920.0,6690.0,6690.0,6470.0,354.0
2019.11.12,7400.0,910.0,7400.0,7400.0,7400.0,1.0
2019.11.11,6490.0,30.0,6490.0,6490.0,6490.0,151.0
2019.11.08,6520.0,770.0,7090.0,7090.0,6310.0,1583.0
2019.11.07,7290.0,740.0,7290.0,7290.0,7290.0,1.0
2019.11.06,6550.0,430.0,6870.0,6870.0,6550.0,2010.0
2019.11.05,6980.0,660.0,6990.0,6990.0,6980.0,10.0
2019.11.04,6320.0,370.0,6330.0,6640.0,6300.0,2130.0
2019.11.01,6690.0,150.0,6700.0,6700.0,6690.0,220.0
2019.10.31,6840.0,30.0,6300.0,6840.0,6300.0,901.0
2019.10.30,6870.0,170.0,6700.0,6870.0,6540.0,281.0
2019.10.29,6700.0,150.0,6700.0,6750.0,6700.0,1416.0
2019.10.28,6850.0,0.0,6850.0,6850.0,6850.0,0.0
2019.10.25,6850.0,530.0,7310.0,7310.0,6850.0,1949.0
2019.10.24,7380.0,90.0,6810.0,7490.0,6700.0,7153.0
2019.10.23,7290.0,0.0,7290.0,7290.0,7290.0,0.0
2019.10.22,7290.0,300.0,6990.0,7290.0,6930.0,993.0
2019.10.21,6990.0,110.0,7500.0,7500.0,6800.0,1833.0
2019.10.18,7100.0,100.0,7600.0,7600.0,7000.0,203.0
2019.10.17,7000.0,290.0,7000.0,7000.0,7000.0,0.0
2019.10.16,7290.0,0.0,7000.0,7290.0,6800.0,1435.0
2019.10.15,7290.0,300.0,7500.0,7500.0,6600.0,1202.0
2019.10.14,6990.0,200.0,6990.0,6990.0,6990.0,1000.0
2019.10.11,7190.0,110.0,7000.0,7190.0,7000.0,371.0
2019.10.10,7300.0,210.0,7500.0,7500.0,6600.0,12.0
2019.10.08,7090.0,90.0,6500.0,7300.0,6500.0,172.0
2019.10.07,7000.0,500.0,7000.0,7000.0,7000.0,300.0
2019.10.04,7500.0,300.0,7500.0,7500.0,7500.0,1.0
2019.10.02,7200.0,50.0,7200.0,7200.0,7200.0,0.0
2019.10.01,7250.0,50.0,7000.0,7250.0,7000.0,551.0
2019.09.30,7300.0,180.0,7300.0,7300.0,7300.0,0.0
2019.09.27,7480.0,180.0,7000.0,7480.0,7000.0,750.0
2019.09.26,7300.0,0.0,7000.0,7300.0,7000.0,102.0
2019.09.25,7300.0,0.0,7000.0,7300.0,7000.0,1201.0
2019.09.24,7300.0,0.0,7300.0,7300.0,7300.0,0.0
2019.09.23,7300.0,350.0,7300.0,7300.0,7300.0,1.0
2019.09.20,6950.0,50.0,7000.0,7000.0,6950.0,800.0
2019.09.19,7000.0,400.0,7000.0,7000.0,7000.0,150.0
2019.09.18,7400.0,100.0,7400.0,7400.0,7400.0,1.0
2019.09.17,7500.0,0.0,7500.0,7500.0,7500.0,100.0
2019.09.16,7500.0,10.0,7500.0,7500.0,7500.0,1.0
2019.09.11,7490.0,10.0,7500.0,7500.0,7490.0,140.0
2019.09.10,7500.0,150.0,7500.0,7500.0,7500.0,101.0
2019.09.09,7350.0,40.0,7380.0,7380.0,7000.0,171.0
2019.09.06,7390.0,110.0,7400.0,7400.0,7390.0,4.0
2019.09.05,7500.0,100.0,7500.0,7500.0,7500.0,0.0
2019.09.04,7600.0,50.0,7640.0,7640.0,7600.0,25.0
2019.09.03,7650.0,550.0,7000.0,7650.0,7000.0,2.0
2019.09.02,7100.0,590.0,7150.0,7690.0,7100.0,759.0
2019.08.30,7690.0,0.0,7690.0,7690.0,7690.0,0.0
2019.08.29,7690.0,0.0,7690.0,7690.0,7100.0,1243.0
2019.08.28,7690.0,0.0,7690.0,7690.0,7690.0,0.0
2019.08.27,7690.0,400.0,7690.0,7690.0,7690.0,1.0
2019.08.26,7290.0,310.0,7750.0,7750.0,7200.0,12.0
2019.08.23,7600.0,190.0,7600.0,7600.0,7600.0,1.0
2019.08.22,7790.0,110.0,7400.0,7850.0,7310.0,4272.0
2019.08.21,7900.0,0.0,7200.0,7900.0,7200.0,1024.0
2019.08.20,7900.0,80.0,7950.0,7950.0,7900.0,39.0
2019.08.19,7980.0,140.0,7300.0,7980.0,7000.0,3025.0
2019.08.16,8120.0,10.0,7250.0,8120.0,7250.0,8.0
2019.08.14,8130.0,230.0,8130.0,8130.0,8130.0,1.0
2019.08.13,7900.0,10.0,7870.0,7900.0,7870.0,76.0
2019.08.12,7890.0,60.0,7890.0,7890.0,7890.0,0.0
2019.08.09,7950.0,40.0,7900.0,7950.0,7900.0,31.0
2019.08.08,7990.0,190.0,8170.0,8170.0,7990.0,28.0
2019.08.07,8180.0,180.0,8500.0,8500.0,8170.0,245.0
2019.08.06,8000.0,140.0,8000.0,8000.0,8000.0,1.0
2019.08.05,7860.0,260.0,7860.0,7860.0,7860.0,0.0
2019.08.02,8120.0,730.0,7380.0,8120.0,7200.0,2440.0
2019.08.01,7390.0,400.0,8120.0,8120.0,7200.0,4277.0
2019.07.31,7790.0,140.0,7900.0,7900.0,7200.0,3243.0
2019.07.30,7930.0,20.0,7930.0,7930.0,7930.0,10.0
2019.07.29,7950.0,0.0,7250.0,7950.0,7250.0,2.0
2019.07.26,7950.0,0.0,8300.0,8300.0,7700.0,15.0
2019.07.25,7950.0,0.0,8300.0,8300.0,7950.0,5.0
2019.07.24,7950.0,150.0,7950.0,7950.0,7950.0,100.0
2019.07.23,8100.0,210.0,7770.0,8350.0,7500.0,3259.0
2019.07.22,7890.0,310.0,8690.0,8690.0,7520.0,237.0
2019.07.19,8200.0,310.0,8200.0,8200.0,8200.0,1.0
2019.07.18,7890.0,60.0,7400.0,7890.0,7330.0,197.0
2019.07.17,7950.0,1050.0,8000.0,8000.0,7650.0,139.0
2019.07.16,9000.0,800.0,9000.0,9000.0,9000.0,1.0
2019.07.15,8200.0,310.0,9060.0,9060.0,8200.0,12.0
2019.07.12,7890.0,0.0,7890.0,7890.0,7890.0,10.0
2019.07.11,7890.0,90.0,7800.0,7890.0,7800.0,2.0
2019.07.10,7800.0,70.0,7800.0,7800.0,7800.0,20.0
2019.07.09,7730.0,0.0,7730.0,7730.0,7730.0,0.0
2019.07.08,7730.0,50.0,7310.0,7730.0,7310.0,3343.0
2019.07.05,7780.0,310.0,7310.0,7780.0,7310.0,303.0
2019.07.04,8090.0,200.0,8590.0,8590.0,7300.0,3.0
2019.07.03,8290.0,580.0,8290.0,8290.0,8290.0,1.0
2019.07.02,7710.0,180.0,7070.0,7810.0,7070.0,43.0
2019.07.01,7890.0,80.0,7960.0,7960.0,7890.0,4.0
2019.06.28,7970.0,320.0,7990.0,7990.0,7240.0,182.0
2019.06.27,8290.0,500.0,8790.0,8790.0,7600.0,2416.0
2019.06.26,8790.0,990.0,8900.0,8900.0,7310.0,3.0
2019.06.25,7800.0,1150.0,7630.0,7890.0,7630.0,1272.0
2019.06.24,8950.0,30.0,8950.0,8950.0,8950.0,0.0
2019.06.21,8980.0,1140.0,8990.0,8990.0,7700.0,723.0
2019.06.20,7840.0,240.0,8000.0,8000.0,7250.0,263.0
2019.06.19,8080.0,310.0,8090.0,8090.0,8080.0,2.0
2019.06.18,8390.0,1080.0,7310.0,8390.0,7140.0,27.0
2019.06.17,7310.0,1180.0,9480.0,9480.0,7270.0,12.0
2019.06.14,8490.0,1040.0,7450.0,8500.0,7450.0,1268.0
2019.06.13,7450.0,170.0,7270.0,7450.0,7270.0,13130.0
2019.06.12,7280.0,10.0,7280.0,7280.0,7280.0,1.0
2019.06.11,7290.0,190.0,7100.0,7290.0,7090.0,67.0
2019.06.10,7100.0,270.0,7240.0,7240.0,7100.0,200.0
2019.06.07,7370.0,210.0,7020.0,7390.0,7010.0,3102.0
2019.06.05,7580.0,290.0,7290.0,7580.0,7290.0,500.0
2019.06.04,7290.0,180.0,7200.0,7290.0,7200.0,51.0
2019.06.03,7470.0,220.0,7100.0,7470.0,7100.0,51.0
2019.05.31,7690.0,580.0,7110.0,7690.0,7110.0,401.0
2019.05.30,7110.0,470.0,7100.0,7110.0,7100.0,202.0
2019.05.29,7580.0,120.0,7200.0,7580.0,7010.0,138.0
2019.05.28,7700.0,0.0,7700.0,7700.0,7700.0,350.0
2019.05.27,7700.0,670.0,7800.0,7800.0,7150.0,767.0
2019.05.24,8370.0,1080.0,7000.0,8370.0,7000.0,321.0
2019.05.23,7290.0,0.0,7290.0,7290.0,7290.0,0.0
2019.05.22,7290.0,10.0,7290.0,7290.0,7290.0,1.0
2019.05.21,7300.0,90.0,7000.0,7300.0,7000.0,549.0
2019.05.20,7390.0,580.0,7000.0,7390.0,7000.0,61.0
2019.05.17,6810.0,780.0,6810.0,6810.0,6810.0,1198.0
2019.05.16,7590.0,600.0,8180.0,8180.0,7000.0,1593.0
2019.05.15,8190.0,650.0,8190.0,8190.0,8190.0,196.0
2019.05.14,7540.0,260.0,7540.0,7540.0,7540.0,0.0
2019.05.13,7800.0,100.0,7000.0,7800.0,7000.0,152.0
2019.05.10,7900.0,970.0,6920.0,7900.0,6510.0,1565.0
2019.05.09,6930.0,520.0,6550.0,6950.0,6530.0,513.0
2019.05.08,7450.0,310.0,7450.0,7450.0,7450.0,1.0
2019.05.07,7140.0,40.0,6960.0,7140.0,6960.0,151.0
2019.05.03,7180.0,60.0,7180.0,7180.0,7180.0,0.0
2019.05.02,7240.0,10.0,7300.0,7300.0,6800.0,2074.0
2019.04.30,7250.0,150.0,7100.0,7250.0,7090.0,3908.0
2019.04.29,7100.0,100.0,7100.0,7100.0,7100.0,1400.0
2019.04.26,7000.0,160.0,6600.0,7300.0,6600.0,7651.0
2019.04.25,6840.0,150.0,6660.0,6840.0,6650.0,1502.0
2019.04.24,6990.0,160.0,6830.0,6990.0,6820.0,1460.0
2019.04.23,6830.0,160.0,7590.0,7590.0,6170.0,104.0
2019.04.22,6670.0,250.0,6650.0,6670.0,6650.0,1500.0
2019.04.19,6920.0,10.0,6920.0,6920.0,6920.0,0.0
2019.04.18,6930.0,10.0,6650.0,6930.0,6650.0,4000.0
2019.04.17,6940.0,550.0,6800.0,7000.0,6790.0,2684.0
2019.04.16,7490.0,490.0,7490.0,7490.0,7490.0,1.0
2019.04.15,7000.0,200.0,6650.0,7000.0,6430.0,904.0
2019.04.12,7200.0,500.0,7500.0,7500.0,7200.0,2.0
2019.04.11,6700.0,640.0,6650.0,7000.0,6650.0,805.0
2019.04.10,7340.0,60.0,6650.0,7340.0,6650.0,27.0
2019.04.09,7400.0,400.0,8790.0,8790.0,7000.0,1354.0
2019.04.08,7800.0,400.0,7800.0,7800.0,7800.0,1.0
2019.04.05,7400.0,700.0,7400.0,7400.0,7400.0,1.0
2019.04.04,6700.0,660.0,6650.0,6980.0,6650.0,1921.0
2019.04.03,7360.0,440.0,7000.0,7490.0,6650.0,3257.0
2019.04.02,7800.0,310.0,7800.0,7800.0,7800.0,1.0
2019.04.01,7490.0,590.0,6160.0,7800.0,6160.0,4.0
2019.03.29,6900.0,1160.0,6900.0,7890.0,6900.0,780.0
2019.03.28,8060.0,170.0,8060.0,8060.0,8060.0,1.0
2019.03.27,7890.0,10.0,8200.0,8200.0,7890.0,2.0
2019.03.26,7900.0,0.0,7900.0,7900.0,7900.0,0.0
2019.03.25,7900.0,100.0,8200.0,8200.0,7900.0,2.0
2019.03.22,7800.0,330.0,8300.0,8300.0,7800.0,3.0
2019.03.21,8130.0,360.0,8130.0,8130.0,8130.0,0.0
2019.03.20,8490.0,590.0,8490.0,8490.0,8490.0,1.0
2019.03.19,7900.0,590.0,8990.0,8990.0,7900.0,3.0
2019.03.18,8490.0,590.0,8490.0,8490.0,8490.0,1.0
2019.03.15,7900.0,100.0,8100.0,8100.0,7900.0,2.0
2019.03.14,8000.0,110.0,8000.0,8000.0,8000.0,1.0
2019.03.13,7890.0,10.0,7890.0,7890.0,7890.0,0.0
2019.03.12,7900.0,300.0,7900.0,7900.0,7900.0,1.0
2019.03.11,7600.0,300.0,7100.0,7600.0,7100.0,11.0
2019.03.08,7300.0,600.0,7300.0,7300.0,7300.0,0.0
2019.03.07,7900.0,600.0,8340.0,8340.0,7900.0,101.0
2019.03.06,7300.0,300.0,7300.0,7300.0,7300.0,0.0
2019.03.05,7600.0,300.0,7300.0,7600.0,7300.0,214.0
2019.03.04,7300.0,40.0,7300.0,7300.0,7300.0,0.0
2019.02.28,7340.0,110.0,7340.0,7340.0,7340.0,0.0
2019.02.27,7450.0,540.0,6850.0,7450.0,6850.0,2501.0
