date,end_price,price_change,start_price,high,low,quantity
2019.12.06,35800.0,500.0,35600.0,36100.0,35550.0,226384.0
2019.12.05,35300.0,50.0,35150.0,35700.0,34900.0,208359.0
2019.12.04,35350.0,100.0,34850.0,35350.0,34450.0,161571.0
2019.12.03,35250.0,150.0,35050.0,35450.0,34700.0,254328.0
2019.12.02,35100.0,350.0,34700.0,35400.0,34100.0,193540.0
2019.11.29,34750.0,250.0,35300.0,35300.0,34500.0,181772.0
2019.11.28,35000.0,450.0,35200.0,35300.0,34850.0,119443.0
2019.11.27,35450.0,250.0,35450.0,35600.0,34700.0,142927.0
2019.11.26,35200.0,100.0,35100.0,35400.0,34450.0,244257.0
2019.11.25,35300.0,700.0,34800.0,35300.0,34750.0,123423.0
2019.11.22,34600.0,300.0,34900.0,35150.0,34350.0,171475.0
2019.11.21,34900.0,350.0,34700.0,35350.0,34300.0,237202.0
2019.11.20,35250.0,300.0,34950.0,35400.0,34200.0,357320.0
2019.11.19,34950.0,2100.0,36900.0,37050.0,34400.0,776461.0
2019.11.18,37050.0,450.0,37400.0,38150.0,36250.0,313609.0
2019.11.15,37500.0,300.0,37250.0,37750.0,36900.0,156627.0
2019.11.14,37200.0,500.0,37750.0,37750.0,36850.0,234830.0
2019.11.13,37700.0,600.0,37100.0,38450.0,37100.0,377742.0
2019.11.12,37100.0,1250.0,36000.0,37250.0,35850.0,354947.0
2019.11.11,35850.0,400.0,36100.0,36600.0,35550.0,189007.0
2019.11.08,36250.0,750.0,35900.0,36700.0,35550.0,372965.0
2019.11.07,35500.0,200.0,35450.0,35750.0,35100.0,218405.0
2019.11.06,35700.0,100.0,35750.0,36050.0,35050.0,239685.0
2019.11.05,35800.0,550.0,36200.0,36500.0,35400.0,183345.0
2019.11.04,36350.0,300.0,36200.0,36800.0,36100.0,228357.0
2019.11.01,36050.0,250.0,35450.0,36400.0,35350.0,211897.0
2019.10.31,35800.0,150.0,35800.0,36000.0,35250.0,149375.0
2019.10.30,35950.0,0.0,35900.0,36150.0,35250.0,228668.0
2019.10.29,35950.0,50.0,36050.0,36500.0,35700.0,215600.0
2019.10.28,35900.0,950.0,35150.0,36100.0,35150.0,327036.0
2019.10.25,34950.0,800.0,35300.0,35300.0,34200.0,537057.0
2019.10.24,34150.0,50.0,34150.0,34750.0,34050.0,446296.0
2019.10.23,34100.0,1250.0,35400.0,35500.0,34000.0,344746.0
2019.10.22,35350.0,300.0,35200.0,35600.0,34800.0,317359.0
2019.10.21,35050.0,350.0,36750.0,36750.0,34750.0,536001.0
2019.10.18,34700.0,650.0,34550.0,34850.0,33700.0,389360.0
2019.10.17,34050.0,250.0,33900.0,34600.0,33900.0,240510.0
2019.10.16,33800.0,150.0,34000.0,34500.0,33400.0,224481.0
2019.10.15,33950.0,350.0,33650.0,34000.0,33450.0,222349.0
2019.10.14,33600.0,400.0,33600.0,33650.0,32750.0,284620.0
2019.10.11,33200.0,400.0,33200.0,33400.0,32800.0,228172.0
2019.10.10,32800.0,1250.0,33500.0,33900.0,32800.0,336836.0
2019.10.08,34050.0,1350.0,32950.0,34200.0,32750.0,387817.0
2019.10.07,32700.0,100.0,33000.0,33150.0,32450.0,276166.0
2019.10.04,32800.0,850.0,33650.0,33750.0,32350.0,558529.0
2019.10.02,33650.0,1400.0,34550.0,34600.0,33500.0,569030.0
2019.10.01,35050.0,1150.0,35950.0,36400.0,34800.0,311771.0
2019.09.30,36200.0,900.0,35400.0,36450.0,35000.0,323887.0
2019.09.27,35300.0,200.0,35450.0,35500.0,34350.0,300948.0
2019.09.26,35100.0,650.0,35800.0,36400.0,35000.0,369635.0
2019.09.25,35750.0,850.0,34700.0,36650.0,34450.0,916449.0
2019.09.24,34900.0,2700.0,36450.0,36500.0,33550.0,2507097.0
2019.09.23,37600.0,550.0,37050.0,37600.0,36600.0,345306.0
2019.09.20,37050.0,1750.0,35350.0,37050.0,35300.0,528557.0
2019.09.19,35300.0,500.0,35850.0,36300.0,35200.0,209738.0
2019.09.18,35800.0,0.0,36000.0,36100.0,35450.0,228533.0
2019.09.17,35800.0,250.0,35950.0,36100.0,35450.0,214377.0
2019.09.16,36050.0,300.0,36000.0,36300.0,35400.0,251777.0
2019.09.11,35750.0,300.0,35450.0,35950.0,34950.0,372412.0
2019.09.10,35450.0,1250.0,34800.0,36150.0,34800.0,576461.0
2019.09.09,34200.0,600.0,34800.0,35100.0,33900.0,401192.0
2019.09.06,34800.0,200.0,35050.0,35400.0,34400.0,256906.0
2019.09.05,35000.0,500.0,35600.0,35700.0,34750.0,325643.0
2019.09.04,35500.0,750.0,35400.0,35700.0,34550.0,400254.0
2019.09.03,34750.0,250.0,34750.0,35000.0,34200.0,278841.0
2019.09.02,34500.0,400.0,34200.0,34900.0,33950.0,232506.0
2019.08.30,34100.0,450.0,34050.0,34400.0,33450.0,280672.0
2019.08.29,33650.0,600.0,34450.0,35000.0,33650.0,319751.0
2019.08.28,34250.0,2300.0,32500.0,34500.0,32450.0,784508.0
2019.08.27,31950.0,400.0,32550.0,32600.0,31800.0,282131.0
2019.08.26,32350.0,550.0,32050.0,32650.0,31950.0,195212.0
2019.08.23,32900.0,250.0,32800.0,32950.0,32050.0,307109.0
2019.08.22,33150.0,450.0,32800.0,33350.0,32300.0,339256.0
2019.08.21,32700.0,50.0,32300.0,33000.0,31950.0,288641.0
2019.08.20,32650.0,400.0,32950.0,33000.0,32050.0,264458.0
2019.08.19,33050.0,650.0,32400.0,33100.0,31650.0,341323.0
2019.08.16,32400.0,900.0,33150.0,33200.0,32100.0,392966.0
